Date,Description,Amount
2025-01-02,E-TRANSFER DEPOSIT - CLIENT ALPHA INC,8500.00
2025-01-03,RENT - JANUARY OFFICE 42,2500.00-
2025-01-06,ROGERS WIRELESS MONTHLY,89.25-
2025-01-07,HYDRO ONE ELECTRIC BILL,142.50-
2025-01-08,AMAZON.CA OFFICE SUPPLIES,67.35-
2025-01-10,PETRO-CANADA STN 4412,85.00-
2025-01-13,MONTHLY FEE - BUSINESS ACCT,16.95-
2025-01-14,TFR TO SAV - RESERVE,5000.00-
2025-01-15,INTUIT QUICKBOOKS ONLINE,45.00-
2025-01-17,TIM HORTONS #3328,14.75-
2025-01-20,E-TRANSFER DEPOSIT - BETA CORP,12000.00
2025-01-22,INTACT INSURANCE COMMERCIAL,325.00-
2025-01-24,MICROSOFT 365 BUSINESS,28.50-
2025-01-27,CANADA POST SHIPPING,18.90-
2025-01-28,SH DRAW - PERSONAL EXPENSE,1500.00-
2025-01-31,PAYROLL - JANUARY 2025,4200.00-
2025-02-03,E-TRANSFER DEPOSIT - GAMMA SERVICES,6750.00
2025-02-05,RENT - FEBRUARY OFFICE 42,2500.00-
2025-02-07,BELL MOBILITY MONTHLY,95.00-
2025-02-10,SHELL STN 7714 FUEL,72.50-
2025-02-11,LOAN PAYMENT - TD BUSINESS,800.00-
2025-02-12,STARBUCKS #4455,8.50-
2025-02-14,COSTCO WHOLESALE 224,156.80-
2025-02-18,DROPBOX BUSINESS ANNUAL,199.00-
2025-02-20,E-TRANSFER DEPOSIT - CLIENT ALPHA INC,8500.00
2025-02-21,ADOBE CREATIVE CLOUD,75.99-
2025-02-24,PARKING DOWNTOWN CORE,24.00-
2025-02-25,SH ADVANCE - COMPANY FUNDS,3000.00
2025-02-28,PAYROLL - FEBRUARY 2025,4200.00-
2025-02-28,SERVICE CHARGE - OVERDRAFT,4.50-
2025-03-03,E-TRANSFER DEPOSIT - DELTA CONSULTING,15500.00
2025-03-04,TFR FROM SAV - OPERATING,2000.00
2025-03-05,RENT - MARCH OFFICE 42,2500.00-
2025-03-07,ROGERS WIRELESS MONTHLY,89.25-
2025-03-10,ESSO STN 1188 FUEL,91.00-
2025-03-11,LOAN PAYMENT - TD BUSINESS,800.00-
2025-03-12,MCDONALD'S #9912,11.25-
2025-03-14,STAPLES BUSINESS DEPOT,234.55-
2025-03-17,ZOOM VIDEO COMMUNICATIONS,21.99-
2025-03-19,UBER EATS ORDER,32.45-
2025-03-21,E-TRANSFER DEPOSIT - BETA CORP,12000.00
2025-03-24,FEDEX EXPRESS SHIPPING,45.60-
2025-03-26,GOOGLE ADS CAMPAIGN,350.00-
2025-03-28,CRA CORPORATE TAX INSTL,2000.00-
2025-03-31,PAYROLL - MARCH 2025,4200.00-
2025-04-02,E-TRANSFER DEPOSIT - GAMMA SERVICES,6750.00
2025-04-04,RENT - APRIL OFFICE 42,2500.00-
2025-04-07,HYDRO ONE ELECTRIC BILL,128.75-
2025-04-08,SH DRAW - PERSONAL VISA,2200.00-
2025-04-09,PETRO-CANADA STN 4412,78.50-
2025-04-11,FACEBOOK ADS SPRING CAMPAIGN,200.00-
2025-04-11,LOAN PAYMENT - TD BUSINESS,800.00-
2025-04-14,WESTJET FLIGHT YYC-YVR,385.00-
2025-04-15,HOTEL VANCOUVER MEETING,289.00-
2025-04-17,AIR CANADA YVR-YYC RETURN,340.00-
2025-04-18,TFR TO SAV - Q2 RESERVE,3000.00-
2025-04-22,E-TRANSFER DEPOSIT - CLIENT ALPHA INC,8500.00
2025-04-25,PUROLATOR COURIER,22.40-
2025-04-28,CANADIAN TIRE AUTO PARTS,145.00-
2025-04-30,PAYROLL - APRIL 2025,4200.00-
2025-04-30,BANK FEE - BUSINESS ACCT,16.95-
2025-05-02,E-TRANSFER DEPOSIT - NEW CLIENT EPSILON,4200.00
2025-05-05,RENT - MAY OFFICE 42,2500.00-
2025-05-07,BELL MOBILITY MONTHLY,95.00-
2025-05-09,PIONEER ENERGY FUEL,65.00-
2025-05-11,LOAN PAYMENT - TD BUSINESS,800.00-
2025-05-12,DOORDASH ORDER,28.90-
2025-05-15,LEGAL FEES - SMITH & ASSOCIATES,1200.00-
2025-05-16,SH DRAW - PERSONAL DRAW,1000.00-
2025-05-20,E-TRANSFER DEPOSIT - BETA CORP,12000.00
2025-05-22,LOAN ADVANCE - TD BUSINESS LOC,15000.00
2025-05-23,TELUS MOBILITY MONTHLY,85.00-
2025-05-26,SKIP THE DISHES ORDER,22.50-
2025-05-28,WALMART SUPPLIES,45.99-
2025-05-30,PAYROLL - MAY 2025,4200.00-
2025-05-30,SERVICE CHARGE - MONTHLY,16.95-
