device_type,attribute,action,value_range,default_value,unit,category_name_zh,category_name_en
Any,on_off,"on,count,off,query","on,off; [1#打开,0#关闭] where applicable",,,任意设备,Any device
Any,online_offline,"count,query","online,offline",,,任意设备,Any device
Any,count,query,"online,offline",,,任意设备,Any device
Light,brightness,"up,query,down,set","[1-100]; empty,max,min per API",10,%,灯,Light
Light,color_temperature,"up,query,down,set","[6500-2700]; warm,cool,empty",500,K,灯,Light
Light,color,"query,set","red,green,yellow,orange,cyan,magenta,purple,pink,light,pale,brown,gray,...",,,灯,Light
AirConditioner,ac_mode,"query,set","empty,heat,dry,cool,auto,fan",,,空调,Air conditioner
AirConditioner,temperature,"up,query,down,set","[18-30]; empty,max,min",1,℃,空调,Air conditioner
AirConditioner,wind_speed,"up,down",,,,空调,Air conditioner
AirConditioner,wind_speed,"up,query,down,set","empty,low_speed,min,max,medium_speed,high_speed",,,空调,Air conditioner
AirConditioner,wind_direction,"query,set","on,off,left_right,up_down",,,空调,Air conditioner
WindowCovering,percentage,"up,query,down,set","[0-100]; 100=完全打开，0=完全关闭",10,%,窗帘,Curtain
WindowCovering,motion,set,"stop#暂停,continue#继续",,,窗帘,Curtain
ClotheDryingMachine,percentage,"up,query,down,set","[0-100]; 100=完全打开，0=完全关闭",10,%,晾衣架,Drying rack
ClotheDryingMachine,motion,set,"stop#暂停,continue#继续",,,晾衣架,Drying rack
SweepingRobot,sweep,set,"stop#暂停打扫,on#开始打扫,continue#继续打扫,off#停止打扫",,,扫地机器人,Robot vacuum
Speaker,play_control,set,"play#开始播放,stop#暂停播放,continue#继续播放,previous#上一首,next#下一首",,,音响,Speaker
Speaker,play_mode,set,"shuffle#随机播放,order#循环播放,single_cycle#单曲循环",,,音响,Speaker
Speaker,volume,"up,down,set,on,off","[1-100]; empty,max,min",10,%,音响,Speaker
VideoDoorbell,volume,"up,down,set,on,off","[1-100]; empty,max,min",10,%,门铃,Doorbell
Speaker,mute,"on,off","1#静音,0#关闭静音",,,音响,Speaker
PetFeeder,feed,set,"feeding#开始喂食",,,宠物喂食器,Pet feeder
