age,income,city,experience,label
25,52000,Shanghai,2,A
31,68000,Beijing,5,B
29,61000,Shenzhen,4,A
45,98000,Guangzhou,12,C
38,82000,Shanghai,8,B
27,56000,Beijing,3,A
34,73000,Shenzhen,6,B
41,90000,Guangzhou,10,C
23,49000,Shanghai,1,A
36,79000,Beijing,7,B
44,95000,Shenzhen,11,C
28,59000,Guangzhou,3,A
39,84000,Shanghai,9,B
42,91000,Beijing,10,C
26,54000,Shenzhen,2,A
33,71000,Guangzhou,5,B
47,102000,Shanghai,13,C
30,65000,Beijing,4,A
37,81000,Shenzhen,8,B
43,93000,Guangzhou,11,C
24,50000,Shanghai,1,A
35,76000,Beijing,6,B
46,99000,Shenzhen,12,C
32,70000,Guangzhou,5,B
29,,Shanghai,4,A
40,87000,,9,C
27,57000,Beijing,,A
38,83000,Shenzhen,8,B
41,90500,Guangzhou,10,C
34,74000,Shanghai,6,B
