age,income,city,tenure,is_student,label
39,55292,Shenzhen,2,1,No
31,82104,Shenzhen,15,1,Yes
54,109106,Guangzhou,6,1,No
22,60571,Shenzhen,4,1,No
31,48052,Guangzhou,12,0,Yes
54,89355,Beijing,2,1,No
50,101324,Guangzhou,10,1,No
44,51708,Guangzhou,14,1,No
28,70057,Shenzhen,8,1,Yes
48,91672,Shenzhen,3,0,No
27,,Shenzhen,4,0,No
55,71963,Guangzhou,10,1,No
36,109639,Shenzhen,7,0,Yes
55,78940,Guangzhou,14,0,No
23,81355,Beijing,9,1,No
53,54508,Shanghai,11,1,No
23,103123,Shenzhen,11,1,Yes
52,57856,Shanghai,4,1,No
45,107030,Shanghai,6,1,No
48,75893,Shenzhen,9,0,Yes
28,60073,Guangzhou,9,0,No
33,49194,Shanghai,3,0,No
34,101568,Shenzhen,9,0,Yes
53,53432,Shanghai,15,1,Yes
41,75275,Shenzhen,7,0,No
38,104218,Guangzhou,1,0,No
23,118509,Shanghai,14,1,Yes
47,111743,Guangzhou,15,0,Yes
24,84574,Beijing,11,0,Yes
22,81214,Beijing,4,0,No
37,86711,Shanghai,9,1,No
26,66392,Shenzhen,15,0,Yes
51,112157,Shenzhen,9,1,No
37,109674,Shanghai,5,0,No
44,76423,Shanghai,14,0,Yes
23,100231,Shenzhen,14,1,Yes
53,61399,Guangzhou,14,0,Yes
28,101251,Guangzhou,3,1,No
55,109366,Shenzhen,14,0,Yes
46,53622,Shanghai,10,1,No
50,76062,Guangzhou,15,0,Yes
24,69189,Shenzhen,13,0,Yes
52,80934,Shanghai,12,0,Yes
33,82497,Shenzhen,8,0,Yes
29,66053,Shanghai,2,1,No
30,80208,Guangzhou,15,0,Yes
24,78361,Beijing,7,0,No
29,77365,Shenzhen,10,1,Yes
36,108609,Guangzhou,1,1,No
53,46866,Shenzhen,,0,Yes
37,52798,Shanghai,6,1,No
42,60486,Shenzhen,8,0,No
28,85721,Guangzhou,6,0,No
23,102772,Shenzhen,8,1,No
28,87131,Shanghai,8,1,Yes
43,100363,Guangzhou,14,0,Yes
40,98896,Shenzhen,13,1,Yes
55,101537,Beijing,6,1,No
28,69044,Shenzhen,5,1,No
46,115809,Shenzhen,6,0,No
53,117824,Shenzhen,12,1,Yes
39,68927,Guangzhou,1,1,No
47,102963,Shanghai,15,0,Yes
32,88368,Beijing,14,1,No
36,58119,Shenzhen,5,1,No
24,65972,Beijing,2,1,No
54,93790,Shanghai,14,0,Yes
23,113827,Guangzhou,6,0,No
52,,Shenzhen,7,1,Yes
49,96518,Guangzhou,13,0,Yes
54,90871,Guangzhou,5,0,No
40,98134,Shanghai,3,0,Yes
50,95555,Shenzhen,1,0,No
49,64013,Shanghai,5,0,No
51,61330,Shenzhen,13,0,Yes
32,89738,Beijing,12,1,No
39,57071,Shenzhen,12,1,No
43,85387,Shenzhen,9,0,Yes
31,64556,Beijing,4,1,No
