age,income,city,department,education,years_experience,projects_last_year,avg_weekly_hours,overtime_hours,cert_count,remote_ratio,satisfaction,manager_score,late_days,customer_tickets,acquisition_channel,target_label
39,121494,Shenzhen,Product,硕士,16,6,40,8,2,40,3.77,4.04,0,13,Referral,A
43,68166,Shenzhen,Finance,本科,1,4,46,2,0,40,3.74,,0,16,Referral,A
39,91976,Shenzhen,Product,本科,5,8,47,2,3,40,3.47,3.02,3,5,Referral,A
40,77530,Shenzhen,Product,本科,2,4,46,8,5,20,3.28,2.24,2,23,Event,B
44,92653,Hangzhou,Tech,本科,3,5,50,6,5,40,3.25,2.69,6,4,Referral,B
55,103412,Hangzhou,Finance,本科,13,3,35,5,2,60,4.45,4.12,0,14,Referral,A
22,67612,Hangzhou,Finance,硕士,2,8,41,3,1,80,2.84,5.0,2,9,Event,A
46,74026,Chengdu,Sales,本科,7,,46,7,2,100,4.01,3.98,1,9,Ad,A
38,57978,Beijing,HR,高中,3,10,39,2,4,80,2.82,4.4,1,26,Referral,A
27,76117,Guangzhou,Tech,高中,11,7,43,3,3,100,3.07,3.51,1,18,Online,A
21,53082,Shanghai,HR,本科,4,6,34,1,3,0,3.83,3.9,0,15,Referral,A
23,64193,Chengdu,Finance,本科,7,12,43,9,0,80,4.56,,3,15,Online,A
36,63236,Hangzhou,Support,本科,6,4,53,7,2,20,3.77,3.73,4,17,Event,B
58,104728,Shenzhen,Finance,硕士,4,3,43,14,2,0,3.42,4.35,3,11,Event,A
40,63641,Hangzhou,Support,本科,4,4,48,7,2,0,3.24,3.31,1,16,Event,C
31,118900,Hangzhou,Tech,硕士,11,4,48,5,7,80,4.41,4.79,3,5,Event,A
48,102604,Shenzhen,Product,硕士,3,6,38,5,4,80,2.3,3.45,5,29,Event,A
55,103929,Guangzhou,Support,硕士,10,7,38,7,3,60,2.8,3.85,2,8,Online,A
42,73468,Chengdu,Sales,硕士,3,8,53,9,2,0,3.2,2.25,4,19,Referral,B
