hours_per_week,projects,salary,team,remote_ratio,label
35,4,33632,D,0,Medium
41,4,31438,B,50,Medium
64,5,6601,A,25,Medium
52,1,31572,C,50,High
40,1,25048,C,75,Medium
65,1,29760,D,50,Medium
55,11,34535,A,25,High
62,10,11078,A,50,High
59,9,10137,,25,Medium
53,6,18481,C,75,Medium
49,4,26274,D,50,Medium
30,5,29136,D,100,High
43,8,31425,A,0,High
40,5,17216,C,100,Medium
48,1,27355,B,50,Medium
57,11,21085,C,50,High
63,6,24569,A,0,High
33,8,18988,A,50,Medium
33,9,20422,A,25,Medium
65,9,22387,A,25,High
65,8,29790,D,0,High
44,4,,B,100,Medium
30,11,21848,D,50,Medium
53,2,9413,D,25,Low
45,3,33365,A,50,High
32,5,9041,D,100,Low
36,6,25985,A,50,Medium
44,7,11588,B,100,Medium
64,12,32127,D,0,High
55,6,25967,B,50,High
50,10,20980,B,0,Medium
48,1,8869,A,100,Medium
33,8,8654,B,100,Medium
64,8,33046,C,50,High
47,9,12516,D,75,Medium
64,8,16355,B,100,High
61,6,26973,D,25,Medium
39,2,6896,A,0,Low
47,9,22869,C,75,High
41,12,5440,C,75,Medium
48,5,12543,D,50,Medium
47,11,10943,A,25,Medium
31,2,32996,A,75,Medium
63,12,16714,D,50,High
49,12,25596,C,100,High
35,4,14117,A,75,Medium
54,4,26146,D,25,Medium
62,8,19620,C,0,High
57,4,24016,B,25,Medium
37,3,20065,D,50,Low
57,6,18413,B,75,Medium
36,10,32461,B,50,High
46,7,24568,A,0,High
54,11,17192,A,100,High
64,7,,D,100,High
48,8,22816,C,75,High
36,5,12595,B,0,Low
41,5,,A,100,High
37,11,8662,C,0,Medium
32,8,28009,A,0,Medium
30,2,25670,B,50,Medium
58,12,10947,C,25,High
53,7,34070,D,25,High
50,1,15849,A,0,Medium
45,8,28044,D,50,High
35,4,7954,A,50,Low
36,11,18509,D,100,High
45,9,7580,C,0,Medium
59,8,20733,B,25,High
32,8,17842,,75,High
53,4,31011,A,100,High
30,4,23354,C,50,Medium
64,4,27571,A,0,High
41,9,26974,C,0,High
42,11,33970,B,0,High
53,8,10749,C,50,High
46,12,30918,A,50,High
38,1,7216,A,0,Low
60,8,10406,C,0,Medium
49,11,22391,D,25,High
53,9,26472,B,0,High
61,3,10219,A,0,Medium
37,6,27384,C,100,Medium
41,1,34848,D,50,Medium
54,12,18054,B,75,High
38,6,16180,C,25,Medium
53,9,16784,D,100,Medium
54,4,13721,A,100,Medium
63,7,17410,A,50,High
49,12,34897,C,25,High
48,5,32851,A,25,High
35,12,26057,A,100,High
53,5,19018,D,100,Medium
30,7,11120,A,25,Medium
58,10,11592,C,75,High
56,7,26904,B,0,Medium
42,2,16491,B,0,Low
51,1,20235,C,100,Medium
44,4,26429,B,0,Low
53,10,21037,B,0,Medium
55,3,,A,75,Medium
57,2,15109,C,100,Medium
46,12,22679,B,75,High
53,6,12166,B,75,Low
35,11,19867,D,25,High
59,5,5974,B,0,Low
38,7,18670,D,50,Medium
46,12,33525,B,50,High
61,6,13181,D,75,Medium
37,10,6369,B,50,Medium
32,12,28655,C,100,High
32,2,16914,C,50,Low
44,8,19723,B,75,Medium
57,12,20796,B,75,High
36,5,16005,A,75,Medium
43,2,22047,A,100,Medium
42,1,30187,D,50,Low
39,7,12133,B,50,Low
35,1,8934,D,100,Low
47,10,7818,D,50,Medium
38,8,13400,A,0,Medium
45,6,30788,A,25,High
53,3,19762,A,100,High
39,3,28675,C,75,Medium
52,11,14373,C,50,High
47,8,8319,B,75,Medium
54,12,,,100,Medium
51,12,27157,C,25,High
34,5,30507,D,50,Medium
37,12,27012,C,25,High
56,3,22125,C,50,High
34,7,,B,50,Low
40,6,17957,A,25,High
59,6,8971,B,50,Medium
35,7,32001,C,25,High
52,4,5872,C,50,Medium
61,5,31611,,100,High
33,3,29487,A,100,Medium
40,12,10327,D,25,Medium
39,8,9676,D,25,Low
59,7,29305,B,100,High
54,11,6953,B,75,Medium
31,8,28390,C,100,High
56,7,27611,B,100,High
39,7,32677,A,75,High
30,11,9994,D,75,Medium
43,7,8115,A,25,Medium
31,11,23547,A,25,High
42,2,26529,D,75,Low
45,6,9128,C,50,Medium
56,9,12513,C,75,High
56,12,17682,A,0,High
46,1,34974,A,50,High
35,12,17347,C,75,High
62,7,11769,D,75,Medium
37,9,7799,B,0,Low
37,11,20681,D,75,High
61,4,12292,D,75,Medium
46,4,24832,B,0,Medium
41,9,16969,D,75,Medium
48,9,14458,A,25,High
42,7,33457,B,25,High
39,1,30143,C,100,Medium
49,9,24860,B,0,Medium
42,11,18649,B,0,High
44,6,32110,D,75,Medium
38,10,25121,B,100,High
54,5,23543,D,50,High
53,10,25301,C,0,High
34,9,19777,D,50,Medium
52,8,17078,,50,Medium
58,4,18985,B,0,Low
34,5,31322,B,75,Medium
42,4,31446,A,25,High
52,5,6711,A,0,Medium
39,2,5072,D,0,Low
39,10,27179,D,100,High
35,1,20287,A,50,Medium
59,3,32864,D,25,Medium
62,3,10354,A,50,Medium
31,11,23516,C,0,Medium
45,10,7583,D,0,Medium
63,10,22847,B,50,High
51,4,27845,B,25,Medium
50,11,8391,C,0,Medium
59,3,19611,C,75,Medium
57,1,12803,B,25,Low
58,9,13767,A,75,High
61,2,23533,B,100,Medium
38,5,20669,D,100,Low
34,7,6363,A,25,Low
43,1,26096,C,25,Medium
32,9,16204,A,75,Medium
35,6,,B,0,Low
61,11,33889,B,50,High
52,2,,A,50,Medium
31,6,28088,B,75,Medium
56,1,27508,B,75,Medium
31,7,30300,C,0,Medium
44,12,34765,B,0,High
35,1,7671,D,75,Low
55,9,27156,D,75,High
38,3,21559,B,75,Medium
61,7,14836,B,75,High
39,8,23141,A,75,High
59,10,26031,D,100,High
64,7,31818,D,100,High
51,3,21368,A,50,Medium
32,1,28015,A,0,Medium
59,10,17230,D,75,High
64,3,8527,C,75,Medium
50,9,17002,D,25,High
42,10,19803,D,50,High
44,3,12785,C,0,Low
65,10,29210,B,75,High
39,6,30422,D,50,Medium
43,3,32765,A,25,High
37,4,32143,D,25,Medium
45,8,9283,C,25,Medium
55,5,25574,D,0,Medium
38,4,12513,C,0,Medium
36,8,24882,C,75,High
33,1,18116,C,0,Low
34,10,34697,C,50,High
51,7,25019,,50,High
56,1,11702,A,75,Medium
39,11,21340,C,25,High
63,4,12863,D,50,Medium
46,2,31724,C,75,Medium
60,7,7456,D,50,Medium
47,8,11751,B,50,Medium
57,1,23346,A,25,Medium
58,9,12813,D,0,Medium
33,11,10239,A,50,High
65,2,8654,A,100,Medium
44,5,13517,D,100,Low
59,10,30764,A,25,High
65,12,32016,D,25,High
54,9,21105,D,0,High
65,5,9008,A,25,Medium
55,11,26450,B,100,High
54,4,22682,C,0,High
43,3,7246,B,50,Low
58,10,31804,D,100,High
30,4,10883,A,50,Low
46,5,10027,D,0,Low
64,11,19953,B,25,High
31,4,6649,C,50,Low
56,9,28695,A,100,High
42,10,32489,B,100,High
34,11,25515,A,100,High
60,10,23600,C,75,High
39,2,9011,A,25,Low
36,2,30542,C,25,Medium
34,3,26072,B,0,Low
65,5,32228,D,0,High
52,5,28090,C,0,High
32,10,17201,D,25,Medium
54,1,14459,A,0,Low
61,10,18254,C,0,High
53,6,8434,A,50,Medium
57,2,16148,B,25,Low
43,8,18247,D,0,Medium
64,3,11481,B,0,Medium
65,5,32107,D,25,High
55,12,25215,A,75,High
