ts_code,symbol,name,trade_date,close,pct_chg,amount,amount_yuan,amount_yi,total_mv,total_mv_yuan,total_mv_yi,circ_mv,turnover_rate,turnover_rate_f,volume_ratio,pe,pb,ps,dv_ratio,market,industry,list_date
300302.SZ,300302,同有科技,20260318,24.83,20.0097,1941236.988,1941236988.0,19.41236988,1190012.0104,11900120104.0,119.00120104,915764.9013,22.222,26.6203,3.36,,11.0887,32.6271,,创业板,IT设备,2012-03-21
688328.SH,688328,深科达,20260318,50.15,20.0048,552911.478,552911478.0,5.52911478,473698.3194,4736983194.0,47.36983194,473698.3194,12.3435,18.9506,1.15,,5.7064,9.3049,,科创板,专用机械,2021-03-09
301306.SZ,301306,西测测试,20260318,131.21,20.0018,1677004.334,1677004334.0,16.77004334,1107412.4,11074124000.0,110.74124,764954.3,23.6532,35.1176,1.99,,12.0987,28.4822,,创业板,航空,2022-07-26
300042.SZ,300042,朗科科技,20260318,61.08,20.0,2931913.079,2931913079.0,29.31913079,1224043.2,12240432000.0,122.40432,1223930.5074,25.4884,33.9348,1.63,,12.2185,14.7564,,创业板,IT设备,2010-01-08
301128.SZ,301128,强瑞技术,20260318,130.02,20.0,1684421.945,1684421945.0,16.84421945,1344943.3925,13449433925.0,134.49433925,1147184.0907,16.0458,30.114,3.06,137.8754,15.1142,11.9388,0.3296,创业板,专用机械,2021-11-10
301191.SZ,301191,菲菱科思,20260318,127.94,19.9962,828313.047,828313047.0,8.28313047,887161.548,8871615480.0,88.7161548,667826.1121,13.5962,21.6542,1.78,75.5053,5.3366,5.2847,0.7765,创业板,通信设备,2022-05-26
301428.SZ,301428,世纪恒通,20260318,39.79,19.994,742894.173,742894173.0,7.42894173,392594.668,3925946680.0,39.2594668,243501.538,32.3775,32.3775,2.41,63.415,3.0855,3.2466,0.2489,创业板,互联网,2023-05-19
300571.SZ,300571,平治信息,20260318,35.24,19.9864,687533.536,687533536.0,6.87533536,491697.7081,4916977081.0,49.16977081,407505.4047,18.0318,23.029,4.33,,3.3839,3.4076,,创业板,互联网,2016-12-13
300166.SZ,300166,东方国信,20260318,15.65,16.3569,5173146.294,5173146294.0,51.73146294,1782137.0956,17821370956.0,178.21370956,1417541.8845,37.2137,39.745,3.14,605.6102,3.0458,6.3815,,创业板,软件服务,2011-01-25
688096.SH,688096,京源环保,20260318,9.59,15.2644,160152.656,160152656.0,1.60152656,226366.5834,2263665834.0,22.63665834,226366.5834,7.4719,9.1342,1.76,,2.5195,4.7547,1.0841,科创板,环境保护,2020-04-09
688319.SH,688319,欧林生物,20260318,31.18,15.0554,509605.476,509605476.0,5.09605476,1265000.3502,12650003502.0,126.50003502,1264066.1974,4.2751,6.3439,1.66,609.416,13.2119,21.4822,,科创板,生物制药,2021-06-08
688387.SH,688387,信科移动-U,20260318,16.0,14.6953,1874467.744,1874467744.0,18.74467744,5470000.0,54700000000.0,547.0,3226843.52,6.1488,10.9456,1.94,,9.1283,8.4268,,科创板,通信设备,2022-09-26
300317.SZ,300317,珈伟新能,20260318,6.01,14.2586,1520033.202,1520033202.0,15.20033202,498943.2314,4989432314.0,49.89432314,498176.9564,30.0332,36.7431,2.75,,3.2021,10.1849,,创业板,电气设备,2012-05-11
300383.SZ,300383,光环新网,20260318,17.05,13.8945,3911240.901,3911240901.0,39.11240901,3064895.8041,30648958041.0,306.48958041,3058009.7934,13.4675,17.5884,1.68,80.3497,2.4052,4.2093,0.3519,创业板,软件服务,2014-01-29
300900.SZ,300900,广联航空,20260318,41.59,13.6339,2092217.05,2092217050.0,20.9221705,1362988.8691,13629888691.0,136.29888691,1067968.6445,20.5311,21.4827,1.9,,6.8547,13.004,,创业板,航空,2020-10-29
