ts_code,symbol,name,trade_date,close,pct_chg,amount,amount_yuan,amount_yi,total_mv,total_mv_yuan,total_mv_yi,circ_mv,turnover_rate,turnover_rate_f,volume_ratio,pe,pb,ps,dv_ratio,market,industry,list_date
000912.SZ,000912,泸天化,20260318,5.82,-10.0464,1011849.464,1011849464.0,10.11849464,912576.0,9125760000.0,91.2576,912576.0,10.919,21.6398,0.87,287.0892,1.438,2.0302,,主板,农药化肥,1999-06-03
600722.SH,600722,金牛化工,20260318,17.37,-10.0,2326529.074,2326529074.0,23.26529074,1181715.2772,11817152771.999998,118.17152771999999,1181715.2772,19.1341,43.528,0.74,224.5634,9.57,23.6652,,主板,化工原料,1996-06-26
002856.SZ,002856,美芝股份,20260318,12.06,-10.0,11528.154,11528154.0,0.11528154,163187.2464,1631872464.0,16.31872464,149428.7583,0.7715,1.2021,0.24,,19.6376,2.3186,,主板,装修装饰,2017-03-20
002637.SZ,002637,赞宇科技,20260318,13.0,-9.9723,238110.221,238110221.0,2.38110221,611521.3,6115213000.0,61.15213,575540.095,4.0078,6.3533,0.94,45.1867,1.62,0.5667,0.9034,主板,日用化工,2011-11-25
600470.SH,600470,六国化工,20260318,8.0,-9.9099,812501.189,812501189.0,8.12501189,417280.0,4172800000.0,41.728,417280.0,19.1481,25.6997,0.72,165.7488,2.5648,0.6675,,主板,农药化肥,2004-03-05
600367.SH,600367,红星发展,20260318,26.0,-9.2179,1813832.644,1813832644.0,18.13832644,886940.3452,8869403452.0,88.69403452,837130.2732,21.208,31.481,0.98,99.5653,3.5848,4.0367,0.1923,主板,化工原料,2001-03-20
600714.SH,600714,金瑞矿业,20260318,22.85,-9.0004,951892.845,951892845.0,9.51892845,658482.7838,6584827838.0,65.84827838,658482.7838,14.0945,21.7605,0.76,188.0655,8.7139,19.1956,0.3063,主板,化工原料,1996-06-06
603778.SH,603778,国晟科技,20260318,22.71,-8.3905,3246032.715,3246032715.0,32.46032715,1491234.2545,14912342545.0,149.12342545,1459928.5695,21.5209,29.5933,1.05,,20.4983,7.1217,,主板,电气设备,2015-12-31
300164.SZ,300164,通源石油,20260318,18.81,-8.1543,2737224.468,2737224468.0,27.37224468,1106890.6811,11068906811.0,110.68906811,1097019.4734,24.3903,27.4117,0.84,198.9137,7.5988,9.2536,,创业板,石油开采,2011-01-13
600759.SH,600759,洲际油气,20260318,6.65,-8.0221,3841397.352,3841397352.0,38.41397352,2759091.1712,27590911712.000004,275.90911712,2755551.0437,13.9462,15.8963,0.84,56.585,3.1386,10.8303,,主板,石油开采,1996-10-08
000420.SZ,000420,吉林化纤,20260318,5.05,-7.8467,1971270.607,1971270607.0,19.71270607,1241728.5132,12417285132.0,124.17285132,1241305.7272,15.9019,20.0063,1.03,448.0699,2.8074,3.1975,,主板,化纤,1996-08-02
