Date,Product,Region,Quantity,Unit_Price,Total
2025-01-03,Widget A,North,15,24.99,374.85
2025-01-05,Widget B,South,8,49.99,399.92
2025-01-07,Gadget X,East,22,15.50,341.00
2025-01-08,Widget A,West,10,24.99,249.90
2025-01-10,Gadget Y,North,5,89.99,449.95
2025-01-12,Widget C,South,30,12.75,382.50
2025-01-14,Gadget X,East,18,15.50,279.00
2025-01-15,Widget B,North,12,49.99,599.88
2025-01-17,Widget A,West,7,24.99,174.93
2025-01-19,Gadget Y,South,3,89.99,269.97
2025-01-20,Widget C,East,25,12.75,318.75
2025-01-22,Widget A,North,20,24.99,499.80
2025-01-23,Gadget X,West,14,15.50,217.00
2025-01-25,Widget B,South,9,49.99,449.91
2025-01-27,Gadget Y,East,6,89.99,539.94
2025-01-28,Widget C,North,35,12.75,446.25
2025-01-30,Widget A,South,11,24.99,274.89
2025-02-01,Gadget X,East,16,15.50,248.00
2025-02-03,Widget B,West,10,49.99,499.90
2025-02-05,Gadget Y,North,4,89.99,359.96
2025-02-06,Widget C,South,28,12.75,357.00
2025-02-08,Widget A,East,13,24.99,324.87
2025-02-10,Gadget X,North,19,15.50,294.50
2025-02-11,Widget B,West,7,49.99,349.93
2025-02-13,Widget A,South,-5,24.99,-124.95
2025-02-15,Widget C,East,33,12.75,420.75
2025-02-17,Gadget Y,West,8,89.99,719.92
2025-02-18,Widget A,North,16,24.99,399.84
2025-02-20,Gadget X,South,21,15.50,325.50
2025-02-22,Widget B,East,11,49.99,549.89
2025-02-23,Widget C,North,27,12.75,344.25
2025-02-25,Widget A,West,9,24.99,224.91
2025-02-27,Gadget Y,South,5,89.99,449.95
2025-03-01,Gadget X,East,17,15.50,263.50
2025-03-03,Widget B,North,14,49.99,699.86
2025-03-04,Widget C,West,31,12.75,395.25
2025-03-06,Widget A,South,12,24.99,299.88
2025-03-08,Gadget X,East,20,15.50,310.00
2025-03-09,Gadget Y,North,7,89.99,629.93
2025-03-11,Widget B,West,6,49.99,299.94
2025-03-13,Widget C,South,29,12.75,369.75
2025-03-14,Widget A,East,18,24.99,449.82
2025-03-16,Gadget X,North,23,15.50,356.50
2025-03-18,Widget B,South,8,49.99,399.92
2025-03-19,Widget C,West,26,12.75,331.50
2025-03-21,Gadget Y,East,4,89.99,359.96
2025-03-23,Widget A,North,15,24.99,374.85
2025-03-24,Gadget X,South,12,15.50,186.00
2025-03-26,Widget B,East,10,49.99,499.90
2025-03-28,Widget C,North,34,12.75,433.50
2025-03-29,Widget A,West,8,24.99,199.92
2025-03-31,Gadget Y,South,6,89.99,539.94
2025-04-02,Gadget X,East,15,15.50,232.50
2025-04-03,Widget B,North,9,49.99,449.91
2025-04-05,Widget C,West,32,12.75,408.00
2025-04-07,Widget A,South,14,24.99,349.86
2025-04-08,Widget B,East,11,49.99,549.89
2025-04-10,Gadget Y,North,5,89.99,449.95
2025-04-12,Widget C,South,22,12.75,280.50
2025-04-13,Gadget X,West,18,15.50,279.00
2025-04-15,Widget A,East,10,24.99,249.90
2025-04-17,Widget B,North,13,49.99,649.87
2025-04-18,Gadget Y,West,3,89.99,269.97
2025-04-20,Widget C,East,30,12.75,382.50
2025-04-22,Widget A,South,17,24.99,424.83
2025-04-23,Gadget X,North,16,15.50,248.00
2025-04-25,Widget B,South,7,49.99,349.93
2025-04-25,Widget B,South,7,49.99,349.93
2025-04-27,Widget C,West,24,12.75,306.00
2025-04-28,Gadget Y,East,9,89.99,809.91
2025-04-30,Widget A,North,11,24.99,274.89
2025-05-02,Gadget X,South,19,15.50,294.50
2025-05-03,Widget B,West,12,49.99,599.88
2025-05-05,Widget C,North,28,12.75,357.00
2025-05-07,Widget A,East,6,24.99,149.94
2025-05-08,Gadget Y,South,4,89.99,359.96
2025-05-10,Gadget X,West,21,15.50,325.50
2025-05-12,Widget B,North,8,49.99,399.92
2025-05-13,Widget C,East,36,12.75,459.00
2025-05-15,Widget A,South,13,24.99,324.87
2025-05-17,Gadget X,North,14,15.50,217.00
2025-05-18,Widget B,East,10,49.99,499.90
2025-05-20,Gadget Y,West,7,89.99,629.93
2025-05-22,Widget C,South,25,12.75,318.75
2025-05-23,Widget A,West,19,24.99,474.81
2025-05-25,Gadget X,East,11,15.50,170.50
2025-05-27,Widget B,North,15,49.99,749.85
2025-05-28,Widget C,West,29,12.75,369.75
2025-05-30,Gadget Y,South,6,89.99,539.94
2025-06-01,Widget A,East,8,24.99,199.92
2025-06-03,Gadget X,North,17,15.50,263.50
2025-06-04,Widget B,South,11,49.99,549.89
2025-06-06,Widget C,East,33,12.75,420.75
2025-06-08,Widget A,West,14,24.99,349.86
2025-06-09,Gadget Y,North,5,89.99,449.95
2025-06-11,Gadget X,West,20,15.50,310.00
2025-06-13,Widget B,East,9,49.99,449.91
2025-06-14,Widget C,North,27,12.75,344.25
2025-06-16,Widget A,South,16,9999.99,159999.84
2025-12-25,Gadget X,South,22,15.50,341.00
2025-06-20,Gadget Y,East,8,89.99,719.92
2025-06-21,Widget C,West,31,12.75,395.25
