Date,Revenue,Expenses,Assets,Liabilities,Equity,Current_Assets,Current_Liabilities,Inventory
2024-01-31,50000,35000,200000,80000,120000,50000,20000,10000
2024-02-29,55000,38000,210000,85000,125000,55000,22000,12000
2024-03-31,60000,40000,220000,90000,130000,60000,25000,15000
2024-04-30,65000,42000,230000,95000,135000,65000,28000,18000
2024-05-31,70000,45000,240000,100000,140000,70000,30000,20000
2024-06-30,75000,48000,250000,105000,145000,75000,32000,22000
2024-07-31,80000,50000,260000,110000,150000,80000,35000,25000
2024-08-31,85000,52000,270000,115000,155000,85000,38000,28000
2024-09-30,90000,55000,280000,120000,160000,90000,40000,30000
2024-10-31,95000,58000,290000,125000,165000,95000,42000,32000
2024-11-30,100000,60000,300000,130000,170000,100000,45000,35000
2024-12-31,105000,63000,310000,135000,175000,105000,48000,38000
