Word,Derivatives,English Definition
abandon,abandonment; abandoned; abandoning; abandons,to leave or stop doing something; give up
abdominal,abdominous,Concerned with the abdomen or stomach
absorb,absorbance; absorber; absorbable; absorbent; absorbency,to take in a liquid; soak up
absorption,absorptance; absorptive,"process of being absorbed (e.g. liquid, attention)"
abstract,abstraction; abstractly; abstractness,existing as an idea rather than a concrete thing; a short summary
academic,academia; academy; academically; academician,"relating to education, study, or scholarship"
accelerate,acceleration; accelerated; accelerating; accelerant,to increase the speed or rate of something
acceleration,accelerate; accelerator; accelerated; accelerating; accelerates,increase in the speed or rate of something
accent,accented; accentuate; accentuation,a way of speaking that shows your dialect or class
access,accessible; accessibility; accessibly; accession; accessor,"the ability or right to enter, use, or obtain something"
accommodation,accommodate; accommodating; accommodative; accommodated,a place to stay; an arrangement or adjustment
accompanied,accompany; accompaniment; accompanying,went with or happened together with something
accumulate,accumulation; accumulative; accumulated; accumulating,To gather or acquire so that you have more of it
accumulation,accumulate; accumulator; accumulative; accumulated; accumulating,The act of getting or becoming bigger or more over time
accuracy,accurate; accurately; inaccurate,being exactly right; correctness
accurate,accuracy; accurately; inaccurate; accurateness,"correct, exact, and free from mistakes"
accurately,accurate; accurateness,exactly and without any mistakes; correctly
achieve,achievement; achievable; achiever; achieved; achieving,to succeed in reaching a goal
acid,acidic; acidity; acidified; acidifying; acidify,sour substance that reacts with metals e.g. lemon
acidic,acid; acidity; acidified; acidifying; acids,containing acid
acknowledged,acknowledge; acknowledgment; acknowledgeable; acknowledgement; acknowledging,accepted or recognized as true or important
acquisition,acquire; acquired; acquisitive,"the act of getting, buying, or learning something"
activate,activation; activity; activist; activism; activated,To make something start working
actively,activation; activeness; active; actives,doing things to achieve a specific goal
acute,acuteness; acuter,strong; very serious or severe
adaptation,adaptive; adaption; adaptability; adapter; adaptor,changing to a new form; thing that is changed
adaptive,adaptation; adaption; adaptability; adapter; adaptor,able to adjust to new conditions
adequate,adequacy; adequately; inadequate; adequateness,enough or satisfactory for a particular purpose
adjacent,adjacently; adjacency,"being close or near to a border, wall, or point"
adjustment,adjust; adjustable; adjusted; adjuster; adjustor,a small change made to improve or fit something
administration,administer; administrative; administrator; administrable; administratively,management of an organization or public affairs
admission,admissive; admissible; admissibly,the act of taking responsibility for an error or mistake
adolescent,adolescence; adolescents,Teenager developing into an adult
adults,adult; adulthood,fully grown people
adverse,adverseness; adverser; adversative,negative or harmful
advocate,advocacy; advocation; advocated; advocating,to publicly support or recommend something; a supporter
aerosol,aerosols,a container that sprays liquid under pressure
aesthetic,aestheticism; aesthetically; aesthetes,concerning the sense of artistic beauty
affect,affection; affective; affectation; affectless,to influence or change something
affirm,affirmation; affirmer; affirmative; affirmable; affirmant,"to state, strengthen or support a belief you have"
afterward,afterwards,happening after something else happened
aggregate,aggregation; aggregated; aggregating,a sum total amount of something
agriculture,agricultural,the science of farming
aid,aided; aiding; aide; aids; aides,help or support
airplane,airplanes,a machine that flies through the air
albeit,,although
algebra,algebraist; algebraical; algebraic; algebraically,mathematics using letters and symbols in place of some numbers
