type,amount,max_age,cuteness
Lion,4,18,7
Penguin,22,12,9
Gorilla,3,31,6
Red Panda,2,9,10
Komodo Dragon,1,15,3
Otter,6,8,10
Giraffe,3,22,8
Flamingo,35,25,7
Tiger,2,16,8
Meerkat,12,7,9
Tortoise,1,85,5
Okapi,2,14,7
Sloth,1,11,9
Chameleon,4,6,6
Elephant,2,45,7
Zebra,5,20,7
Hippopotamus,2,35,4
Cheetah,3,10,8
Snow Leopard,1,14,9
Wolf,4,12,6
Arctic Fox,2,8,9
Capybara,3,7,10
Lemur,8,16,9
Macaw,6,50,8
Chimpanzee,5,38,7
Koala,2,11,10
Wombat,1,18,8
Kangaroo,4,15,7
Wallaby,3,12,8
Porcupine,2,14,4
Armadillo,1,12,5
Pangolin,1,10,7
Tapir,2,25,5
Anaconda,1,20,2
Iguana,3,15,4
Toucan,4,18,8
Peacock,7,16,9
Bald Eagle,2,28,7
Snowy Owl,3,18,8
Puffin,10,22,10
Pelican,5,30,6
Crocodile,2,55,3
Python,1,25,3
Tarantula,4,15,2
Scorpion,6,5,2
Jellyfish,20,3,6
Seahorse,15,4,8
Clownfish,25,6,9
Stingray,3,18,5
Shark,1,30,4
Sea Turtle,2,60,8
Axolotl,4,10,10
Tree Frog,8,5,8
Poison Dart Frog,6,8,7
Salamander,3,12,6
Hedgehog,2,5,10
Chinchilla,3,10,9
Ferret,4,7,8
Sugar Glider,5,9,9
Mongoose,3,11,6
Hyena,2,20,4
Jackal,2,12,5
Mandrill,3,25,6
Orangutan,2,40,8
Gibbon,4,30,7
Tamarin,6,14,9
Marmoset,5,10,9
Aardvark,1,18,5
Binturong,1,15,6
Clouded Leopard,1,13,9
Caracal,2,12,8
Serval,2,15,8
Ocelot,1,14,9
Lynx,2,17,8
Wolverine,1,13,5
Badger,2,10,6
Raccoon,4,12,7
Coati,3,14,7
Kinkajou,2,20,8
Camel,3,40,5
Alpaca,4,15,10
Llama,3,18,7
Bison,2,20,5
Moose,1,18,6
Reindeer,4,14,7
Ibex,3,16,6
Gazelle,5,12,8
Impala,4,14,7
Wildebeest,3,18,4
Warthog,2,15,4
Manatee,1,50,8
Narwhal,1,40,7
Beluga Whale,1,35,9
Sea Otter,3,15,10
Seal,5,25,9
Walrus,1,30,5
Red Fox,2,8,8
Fennec Fox,2,10,10
Bat,12,20,5
Echidna,1,30,6
