date,code,open,high,low,close,volume,amount,MA5,MA10,MA20,MA60
2024-10-08,sh.601127,99.46,99.46,90.42,98.1,112033525,10845262403.48,,,,
2024-10-09,sh.601127,95.0,95.0,89.0,89.02,82672314,7614250716.18,,,,
2024-10-10,sh.601127,88.88,91.8,85.2,88.8,59308648,5269118984.03,,,,
2024-10-11,sh.601127,91.77,95.23,90.01,92.2,82503733,7653480519.71,,,,
2024-10-14,sh.601127,92.09,93.49,89.1,93.0,61394042,5633765823.76,92.224,,,
2024-10-15,sh.601127,91.45,95.0,89.88,89.89,56628457,5197636765.68,90.582,,,
2024-10-16,sh.601127,89.89,92.0,89.2,91.4,43557287,3948137355.12,91.05799999999999,,,
2024-10-17,sh.601127,93.18,93.58,89.88,90.0,48845264,4454115588.01,91.298,,,
2024-10-18,sh.601127,86.88,92.5,86.14,90.82,70612852,6338935023.49,91.022,,,
2024-10-21,sh.601127,89.96,92.5,89.38,90.38,61386594,5565519167.97,90.498,91.361,,
2024-10-22,sh.601127,89.55,92.8,89.5,91.42,60413951,5532747760.15,90.804,90.693,,
2024-10-23,sh.601127,92.44,100.56,90.78,100.56,78278083,7600542716.44,92.636,91.84700000000001,,
2024-10-24,sh.601127,103.57,103.57,96.1,97.49,94225683,9358032862.91,94.13399999999999,92.71600000000001,,
2024-10-25,sh.601127,99.3,99.82,95.5,96.38,58642683,5683610360.96,95.24600000000001,93.13399999999999,,
2024-10-28,sh.601127,96.38,103.0,95.8,102.47,84678794,8464633554.19,97.66400000000002,94.08099999999999,,
2024-10-29,sh.601127,102.47,112.57,100.07,109.2,112954133,12181816665.22,101.22,96.012,,
2024-10-30,sh.601127,106.91,110.28,106.18,109.46,69013583,7446632408.63,103.0,97.81800000000001,,
2024-10-31,sh.601127,110.57,120.0,107.28,116.7,107111848,12199306063.64,106.84200000000001,100.488,,
2024-11-01,sh.601127,114.38,118.6,112.6,113.93,72490792,8320661427.49,110.352,102.799,,
2024-11-04,sh.601127,120.0,125.32,120.0,125.32,51963686,6437597030.67,114.922,106.293,98.827,
2024-11-05,sh.601127,129.0,137.85,128.0,137.85,112500638,15034478742.1,120.652,110.936,100.8145,
2024-11-06,sh.601127,142.0,145.0,132.6,134.2,138034567,19052815773.85,125.6,114.3,103.07350000000001,
2024-11-07,sh.601127,131.58,136.3,130.0,135.87,86479187,11483430527.2,129.43400000000003,118.13799999999999,105.42699999999999,
2024-11-08,sh.601127,139.6,141.23,134.0,134.22,82946452,11358634832.99,133.492,121.922,107.52799999999999,
2024-11-11,sh.601127,131.51,140.95,131.5,140.3,83593657,11540306697.84,136.488,125.705,109.893,
2024-11-12,sh.601127,141.24,142.9,132.6,134.57,86246142,11853239287.89,135.832,128.24200000000002,112.12700000000002,
2024-11-13,sh.601127,132.79,145.0,130.89,144.43,85251386,11740072180.8,137.87800000000001,131.73899999999998,114.77850000000001,
2024-11-14,sh.601127,143.98,149.48,139.01,140.31,78160706,11220793150.79,138.766,134.1,117.29400000000001,
2024-11-15,sh.601127,138.6,140.65,130.71,131.5,79825756,10792552409.26,138.222,135.85700000000003,119.328,
2024-11-18,sh.601127,131.09,132.0,122.53,124.75,76766518,9741612461.88,135.112,135.8,121.0465,
2024-11-19,sh.601127,124.99,129.55,122.68,129.39,62150650,7827075006.46,134.076,134.954,122.94499999999998,
2024-11-20,sh.601127,127.1,131.33,127.01,129.72,42888455,5538804783.29,131.134,134.506,124.40299999999999,
2024-11-21,sh.601127,128.79,131.58,127.62,129.15,34704568,4492914131.01,128.902,133.834,125.98600000000002,
2024-11-22,sh.601127,130.35,130.35,123.68,123.99,37225328,4712419970.74,127.4,132.811,127.3665,
2024-11-25,sh.601127,122.55,123.79,118.43,121.35,42595775,5149743926.19,126.72,130.916,128.3105,
2024-11-26,sh.601127,121.0,123.95,120.0,120.61,26921500,3273401047.02,124.96400000000001,129.51999999999998,128.881,
2024-11-27,sh.601127,122.0,124.48,119.34,123.89,45481198,5570912675.33,123.798,127.46600000000001,129.6025,
2024-11-28,sh.601127,124.2,124.39,118.76,119.21,38694554,4714620294.74,121.80999999999999,125.356,129.728,
2024-11-29,sh.601127,119.21,123.9,116.75,121.59,51426507,6170530615.71,121.33,124.36499999999998,130.11100000000002,
2024-12-02,sh.601127,126.0,133.75,125.74,133.75,46246878,6011340374.09,123.80999999999999,125.26499999999999,130.5325,
2024-12-03,sh.601127,140.0,140.0,135.28,135.7,74534393,10235979678.88,126.828,125.896,130.425,
2024-12-04,sh.601127,134.16,139.91,133.68,136.8,49203619,6722188259.37,129.41,126.604,130.555,
2024-12-05,sh.601127,137.0,141.5,136.01,139.98,43143624,6007184082.46,133.564,127.68699999999998,130.7605,
2024-12-06,sh.601127,139.88,140.86,137.6,138.39,35654628,4957665608.29,136.924,129.127,130.969,
2024-12-09,sh.601127,139.31,145.0,139.1,144.75,53509836,7642835422.63,139.124,131.467,131.1915,
2024-12-10,sh.601127,149.0,149.89,133.0,134.5,101431573,14309938455.83,138.884,132.856,131.188,
2024-12-11,sh.601127,131.5,134.48,129.28,133.72,56923910,7515804013.74,138.268,133.839,130.65249999999997,
2024-12-12,sh.601127,132.86,137.42,132.5,136.91,45097420,6128000261.71,137.654,135.60899999999998,130.48250000000002,
2024-12-13,sh.601127,136.0,137.2,130.0,130.16,83028564,11043792381.2,136.00799999999998,136.466,130.4155,
2024-12-16,sh.601127,128.1,131.8,126.28,130.7,39221003,5080628409.65,133.198,136.161,130.713,
2024-12-17,sh.601127,131.0,131.89,128.71,130.21,23490185,3059538721.17,132.34,135.612,130.754,
2024-12-18,sh.601127,131.0,131.5,128.88,129.76,21320798,2772989601.32,131.548,134.908,130.756,
