YEAR,DOY,ALLSKY_SFC_UVB,ALLSKY_SFC_UVA,ALLSKY_SFC_PAR_TOT,RH2M,WS2M,PS,GWETROOT,GWETPROF,WD2M,PRECTOTCORR,T2M_MAX,T2M_MIN
2024,92,0.01,0.63,4.8,87.33,3.29,100.28,0.81,0.78,135.3,11.19,23.87,16.79
2024,93,0.01,0.29,2.13,93.04,2.98,99.75,0.84,0.8,326.2,21.19,21.66,16.19
2024,94,0.01,0.66,5.56,86.72,4.24,100.86,0.84,0.81,16.2,0.81,19.76,13.33
2024,95,0.01,0.44,3.29,88.79,4.26,101.4,0.84,0.8,20.6,2.27,16.36,11.4
2024,96,0.02,0.76,5.79,80.88,2.39,101.5,0.84,0.8,25.3,1.21,18.72,8.8
2024,97,0.01,0.63,4.78,82.67,1.88,101.46,0.84,0.8,32.3,0.23,18.09,12.04
2024,98,0.01,0.32,2.55,81.29,0.84,101.21,0.83,0.8,116.2,0.12,19.39,11.46
2024,99,0.02,0.66,4.9,85.86,2.18,101.45,0.83,0.79,19.1,0.35,21.45,11.74
2024,100,0.03,1.22,9.75,80.63,2.66,101.72,0.82,0.79,100,0,22.85,12.32
2024,101,0.02,0.67,5.06,84.29,1.37,101.44,0.81,0.78,202.6,0.29,22.28,12.06
2024,102,0.01,0.54,4.24,85.79,0.73,101.26,0.81,0.78,330.1,2.88,22.9,14.21
2024,103,0.03,1.09,8.6,80.69,1.05,100.99,0.81,0.78,242.1,0.07,26.18,13.45
2024,104,0.01,0.48,3.68,87.89,3.48,100.58,0.81,0.77,124.3,8.83,26.72,15.16
2024,105,0.01,0.7,5.79,83.99,2.39,100.46,0.81,0.78,270.6,0.73,27,19.39
2024,106,0.03,1.14,9.33,82.07,1.7,100.78,0.8,0.77,79.9,2.88,29.43,17.23
2024,107,0.01,0.26,2.31,88.91,4.47,100.64,0.8,0.77,62.3,16.15,24.06,19.01
2024,108,0.02,0.7,5.51,86.96,3.25,100.77,0.83,0.79,29.4,17.26,21.31,14.49
2024,109,0.03,1.14,9.12,83.2,2.34,100.68,0.84,0.8,98.4,0.91,25.84,11.24
2024,110,0,0.24,1.94,92.17,1.92,99.99,0.85,0.81,11.1,27.5,24.44,16.2
2024,111,0.02,0.93,7.62,82.5,1.95,100.53,0.86,0.82,27.4,0.08,24.41,15.01
2024,112,0.02,0.72,6.03,81.73,1.37,100.69,0.85,0.81,65.3,0.01,22.9,16.47
2024,113,0.02,0.94,7.53,74.97,0.7,100.63,0.84,0.81,207.1,3.35,26.23,15.89
2024,114,0.03,1.19,9.59,73.2,2.43,100.75,0.84,0.81,339.9,1.58,25.98,16.72
2024,115,0.02,1.03,7.92,75.57,1.53,100.73,0.83,0.8,124.5,0.06,26.89,13.1
2024,116,0.02,0.74,5.69,88.53,1.23,100.31,0.83,0.8,40.6,0.02,23.52,17.55
2024,117,0.03,1.3,10.43,76.64,0.88,100.14,0.82,0.79,148.1,0,28.96,16.93
2024,118,0.03,1.18,9.57,82.34,1.55,100.22,0.82,0.78,109.9,2.11,28.48,17.81
2024,119,0.01,0.51,4.01,90.46,2.45,100.28,0.83,0.79,12,25.07,26.28,18.07
2024,120,0.02,0.74,5.8,83.67,3.23,100.54,0.84,0.8,44.4,3.74,26.48,16.25
2024,121,0.01,0.27,2.03,86.11,5.77,100.61,0.85,0.81,21.5,19.23,19.49,13.37
2024,122,0.02,0.85,6.33,77,1.95,101.23,0.85,0.82,41.1,0.19,19.67,11.24
2024,123,0.03,0.98,7.64,74.94,1.28,101.26,0.85,0.81,95,3.88,22.77,13.73
2024,124,0.01,0.33,2.53,89.83,2.99,101.03,0.86,0.82,84.6,23.82,21.39,16.18
2024,125,0.01,0.27,1.97,90.29,2.81,100.73,0.89,0.84,10.5,18.62,19.45,14.62
2024,126,0.02,0.85,6.49,81.82,1.63,100.75,0.89,0.85,291.5,1.03,23.7,13.11
2024,127,0.03,1.24,10.11,85.05,2.35,100.93,0.88,0.84,204.3,0.05,26.89,14.93
2024,128,0.03,1.12,9.14,86.5,1.25,101.25,0.87,0.84,78.3,1.05,26.83,19.36
2024,129,0.03,1.34,10.83,74.31,2.17,101.43,0.87,0.83,72.4,0.06,29.67,16.93
2024,130,0.03,1.11,8.74,74.77,2.18,101.25,0.86,0.82,130.8,0,28.12,17.19
2024,131,0.03,1.05,8.15,82.84,3.35,100.75,0.85,0.81,194.3,1.7,28.47,16.08
2024,132,0.01,0.4,3.05,81.64,2.9,100.75,0.85,0.81,339.1,2.39,26.59,18.3
2024,133,0.03,1.22,9.75,64.76,2.15,101.11,0.84,0.8,46.3,0,28.25,14.58
2024,134,0.03,1.48,11.94,67.91,1.81,101.17,0.83,0.79,141,0,28.73,16.43
2024,135,0.03,1.54,12.29,71.12,2.3,100.95,0.81,0.78,192.7,0,30.23,14.51
2024,136,0.03,1.27,10.43,77.96,3.08,101.43,0.8,0.78,45.8,0,27.83,18.81
2024,137,0.03,1.29,10.35,75.73,2.63,101.19,0.79,0.77,165.8,0,29.14,15.72
2024,138,0.03,1.47,11.82,78.73,3.22,100.55,0.78,0.76,209.8,0,31.65,19.05
2024,139,0.03,1.3,10.23,82.61,2.38,100.52,0.77,0.75,199,0,30.64,20.88
2024,140,0.02,0.94,7.07,84.03,1.2,100.5,0.77,0.74,201.5,4.53,29.27,22.01
2024,141,0.02,0.68,5.07,80.85,1.35,100.74,0.77,0.74,83.2,2.72,29.29,21.56
2024,142,0.01,0.63,5.04,84.65,1.58,100.89,0.77,0.74,39,8.89,27.97,21.74
2024,143,0.02,0.86,6.67,82.13,1.33,100.75,0.77,0.74,87.6,1.81,29.39,20.77
2024,144,0.03,1.32,10.56,78.81,1.39,100.49,0.76,0.73,222.7,0.18,30.69,21.26
2024,145,0.03,1.36,11.01,74.46,1.24,100.47,0.75,0.72,149.1,0,32.94,21.24
2024,146,0.04,1.41,11.37,76.96,2.01,100.31,0.74,0.71,163.1,0.06,33.76,22.76
2024,147,0.02,0.95,7.62,83.2,2.95,99.99,0.74,0.72,228.6,27.49,32.91,24.19
2024,148,0.03,0.97,7.45,79.34,4.26,100.19,0.77,0.74,38.6,10.02,26.89,18.14
2024,149,0.04,1.47,11.81,71.26,2.31,100.54,0.76,0.73,89.1,0,28.08,15.43
2024,150,0.04,1.42,10.92,75.69,2.26,100.39,0.75,0.73,87.6,9,29.93,18.64
2024,151,0.01,0.41,2.86,87.06,2.44,100.57,0.79,0.75,11.2,31.34,23.64,18.31
2024,152,0.02,0.8,6.01,86.45,1.33,100.8,0.8,0.76,89.5,2.17,26.45,18.93
2024,153,0.03,0.94,7.36,82.7,1.82,100.95,0.79,0.76,80.1,1.44,26.7,19.28
2024,154,0.02,0.87,6.62,79.59,1.87,100.73,0.78,0.75,71.3,0.18,28.87,19.47
2024,155,0.04,1.41,11.03,74.1,1.85,100.76,0.77,0.74,100.7,0.81,29.2,17.66
2024,156,0.02,0.58,4.3,85.17,1.32,100.9,0.77,0.74,101.9,2.87,25.3,19.29
2024,157,0.01,0.35,3.11,82.48,1.85,100.96,0.77,0.74,55.1,1.58,25.41,19.13
2024,158,0.03,1.02,8.48,76.9,1.34,100.96,0.76,0.73,98.1,0.03,27.46,16.35
2024,159,0.03,1.13,9.01,75.87,1,100.58,0.75,0.72,181.7,0.08,29.77,18.34
2024,160,0.03,0.99,7.92,74.44,0.89,100.5,0.74,0.71,7.2,2.43,30.88,20.64
2024,161,0.02,0.75,5.7,82.51,1.07,100.52,0.73,0.71,164.3,1.15,28.23,21.49
2024,162,0.02,0.72,5.23,83.51,0.94,100.36,0.73,0.71,211.9,5.12,30.19,21.76
2024,163,0.03,0.99,7.98,80.31,1.07,100.14,0.73,0.7,226.9,0.19,31.39,22.28
2024,164,0.04,1.46,11.73,76.15,1.43,99.95,0.72,0.7,173.8,0.03,33.67,22.95
2024,165,0.03,1.32,10.58,84.87,1.82,99.79,0.71,0.69,123,0.13,32.33,24.35
2024,166,0.04,1.33,10.34,81.55,1.66,99.68,0.7,0.68,201.7,0.21,32.85,25.63
2024,167,0.03,1.35,11.09,76.18,1.59,99.95,0.69,0.67,132.6,0.2,34.68,23.87
2024,168,0.03,1.03,8.31,81.55,2.2,100.13,0.68,0.66,87.2,2.93,32.35,24.74
2024,169,0.03,1.12,8.73,74.85,1.96,100.24,0.68,0.66,91.9,2.23,32.23,22.83
2024,170,0.03,1.01,7.45,85.34,2.31,100.07,0.68,0.66,107.7,6.03,30.29,23.29
2024,171,0.02,0.58,4.11,89.38,1.93,99.79,0.69,0.66,232.3,7.19,29.59,24.93
2024,172,0.02,0.62,4.4,85.33,1.64,99.73,0.69,0.67,193,10.64,32.33,24.67
2024,173,0.03,0.93,7.13,86,3.71,99.61,0.7,0.67,203,24.84,32.86,26.13
2024,174,0.02,0.67,4.77,80.04,1.92,99.8,0.74,0.71,272.7,34.97,32.16,23.38
2024,175,0.02,0.86,6.2,79.49,1.28,100,0.76,0.73,137.3,12.58,31.66,24.05
2024,176,0.01,0.52,3.86,83.82,1.5,100.36,0.77,0.74,215.4,10.78,30.26,22.4
2024,177,0.02,0.76,5.76,85.21,1.5,100.77,0.76,0.74,163.4,2.75,26.26,20.68
2024,178,0.02,0.78,6.28,89.69,1.07,100.89,0.76,0.73,114.9,1.72,25.53,20.7
2024,179,0.02,0.59,4.17,91.6,1.73,100.69,0.78,0.74,208.2,26.39,26.02,21.05
2024,180,0.01,0.22,1.46,94.82,3.72,100.01,0.84,0.8,188.3,69.36,26.94,23.29
2024,181,0.01,0.27,1.82,91.51,2.25,99.7,0.9,0.85,231.8,57.19,28.52,24.38
2024,182,0.03,1.21,9.28,88.36,1.91,99.69,0.9,0.85,203.3,2.5,31.84,24.22
2024,183,0.02,0.6,4.43,91.13,3.41,99.48,0.9,0.86,210.4,79.17,31.15,23.08
2024,184,0.03,1.08,8.43,82.47,2.11,99.93,0.92,0.88,288.9,6.29,30.54,21.82
2024,185,0.03,1.05,7.81,85.98,2.78,100.43,0.9,0.87,187.7,6.15,31.43,22.07
2024,186,0.03,0.93,6.96,88.4,4.14,100.27,0.9,0.86,201.9,6.42,31.85,26.01
2024,187,0.04,1.54,11.99,87.11,4.55,99.95,0.9,0.86,194.8,1.18,32.9,26.25
2024,188,0.04,1.54,11.93,83.65,4.63,99.89,0.88,0.85,203.8,0.02,33.1,26.01
2024,189,0.04,1.6,12.37,83.37,4.72,99.93,0.87,0.83,201.8,0,33.6,26.51
2024,190,0.04,1.43,11.1,83.42,4.64,99.8,0.85,0.82,200.1,0.01,33.52,26.31
2024,191,0.02,0.63,4.86,90.75,3.17,99.91,0.84,0.81,201.5,3.69,30.57,27.09
2024,192,0.02,0.89,6.96,87.04,1.42,100.1,0.84,0.81,282,3.24,32.87,24.76
2024,193,0.02,0.82,6.16,89.95,1.77,99.86,0.84,0.81,248.7,6.65,30.58,26.4
2024,194,0.03,0.96,7.39,87.13,2.06,99.63,0.84,0.81,211.7,5.53,32.71,25.81
2024,195,0.01,0.33,2.54,86.94,2.05,99.73,0.84,0.81,210.3,20.09,32.79,26.88
2024,196,0.01,0.5,3.7,92.72,2.17,100.16,0.88,0.84,189.2,38.5,29.54,26.76
2024,197,0.02,0.58,4.25,90.39,2.32,100.32,0.89,0.84,182.8,1.02,30.81,26.12
2024,198,0.03,0.94,6.95,86.12,2.82,100.19,0.88,0.84,191.9,0.38,33.34,27.08
2024,199,0.04,1.25,9.28,84.55,4.19,100.09,0.86,0.83,200.4,0.1,33.22,26.9
2024,200,0.03,1.11,8.36,87.65,4.07,100.05,0.85,0.82,202.9,0.01,31.86,26.23
2024,201,0.03,1.16,8.78,86.68,3.8,100.01,0.84,0.81,197.8,0,31.18,26.16
2024,202,0.03,0.88,6.4,86.97,4.1,100.03,0.84,0.8,194.7,0,31.46,26.22
2024,203,0.04,1.64,12.75,82.71,3.73,100.05,0.82,0.79,200.6,0,34.25,25.56
2024,204,0.04,1.66,12.9,82.91,3.46,99.87,0.81,0.78,198.8,0,34.91,26.39
2024,205,0.04,1.6,12.28,78.12,2.57,99.57,0.79,0.77,192.4,0.29,36.48,26.52
2024,206,0.04,1.53,11.92,78.76,0.93,99.38,0.78,0.76,152.1,0,36.26,27.58
2024,207,0.04,1.51,11.63,82.45,2.6,99.06,0.77,0.75,30.3,0,35.97,28.51
2024,208,0.04,1.34,10.35,83.14,4.3,99.14,0.76,0.73,22.2,1,33.85,27.54
2024,209,0.02,0.73,5.28,86.98,3.45,99.39,0.75,0.73,3.7,11.55,33.25,26.89
2024,210,0.03,0.99,7.19,89.65,2.99,99.79,0.77,0.74,152.8,19.06,30.46,24.33
2024,211,0.04,1.48,11.4,84.23,3.23,100.1,0.77,0.74,165.2,0.87,33.98,24.21
2024,212,0.04,1.58,12.23,82.08,2.73,100.08,0.76,0.73,194.3,0.02,33.56,25.76
2024,213,0.04,1.41,10.83,83.2,2.53,99.96,0.74,0.72,202.8,1.33,34.14,25.72
2024,214,0.04,1.33,10.13,86.69,3.3,99.92,0.73,0.71,207,1.29,31.79,26.51
2024,215,0.04,1.21,8.96,84.97,3.1,99.95,0.72,0.7,198.6,0.13,32.65,26.77
2024,216,0.04,1.37,10.45,81.44,3.05,100.16,0.71,0.69,195.8,0,34.22,26.39
2024,217,0.04,1.55,12.04,81.47,2.85,100.18,0.7,0.68,209.7,0,34.09,26.03
2024,218,0.04,1.57,12.17,82.44,2.48,100.07,0.69,0.67,205.9,0,34.34,27.1
2024,219,0.04,1.38,10.78,83.01,1.55,100.04,0.68,0.66,189.2,2.71,33.71,26.2
2024,220,0.04,1.47,11.39,84.8,1.75,100.03,0.68,0.66,188.5,2.01,33.04,26.57
2024,221,0.04,1.44,11.24,82.52,2.42,99.92,0.67,0.66,191.8,0,35.12,26.97
2024,222,0.04,1.38,10.81,77.76,2.6,99.73,0.66,0.65,193.2,0,36,26.78
2024,223,0.03,1.25,9.7,82.01,1.48,99.67,0.65,0.64,247.7,0.45,33.35,28.04
2024,224,0.04,1.35,10.7,67.3,1.82,99.73,0.65,0.64,268.6,0.01,35.85,25.52
2024,225,0.04,1.46,11.34,65.39,1.26,99.89,0.64,0.63,260.5,0.04,37.45,23.52
