restart,step,smiles,pIC50,QED,SA,MW,LogP,LogP_Penalty,Reward,EHOMO_ev,ELUMO_ev,gap_ev,esp_min,status,gap_score,esp_score,R_DFT,R0,R_total,rank_R0,rank_total,delta_rank,dft_effect,MW.1,LogP.1,HBD,HBA,RotBonds,TPSA,QED.1,Lipinski_Pass,Violations,hERG_Prob,hERG_Risk,R_ADMET,R_global,Active_Set
62,10,COCCN(COC)Cc1ccc(Cc2ccc(COC)cc2)cc1,7.639500000000011,0.5846591952293336,2.173751236176642,343.4670000000001,3.4761000000000024,0.0,8.714454473997012,-9.7468,-6.1389,3.6078,-0.352,xtb_success,0.7848382722788563,0.8799999999999999,0.8133867905951992,8.714454473997012,9.039809190235092,94,36,-58,physically_promoted,343.47,3.48,0,4,11,30.93,0.585,True,0,0.6433333333333333,True,0.743,10.525,False
84,4,COCc1ccc(CCN2CCN(C(=O)C3(OC)CCCCC3)CC2)cc1,7.635600000000008,0.7359856256424561,2.3987460801812155,374.52500000000026,2.8690000000000007,0.0,8.763718204803114,-9.4291,-5.989,3.4401,-0.533,xtb_success,0.7377420794914477,0.7783333333333333,0.7499194556440134,8.763718204803114,9.06368598706072,20,22,2,neutral,374.53,2.87,0,4,7,42.01,0.736,True,0,0.77,True,0.692,10.448,False
93,8,COCc1ccc(Cc2ccc(C(=O)N3CCN(C(=O)c4ccccc4C)CC3)cc2)cc1,7.631900000000006,0.5709923512785856,1.9879531101754484,442.5590000000002,4.330420000000004,0.0,8.718600864621754,-10.5749,-6.6625,3.9124,-0.535,xtb_success,0.8625525365410728,0.775,0.8362867755787509,8.718600864621754,9.053115574853257,85,28,-57,physically_promoted,442.56,4.33,0,3,6,49.85,0.571,True,0,0.7466666666666667,True,0.701,10.456,False
62,2,COc1ccc(CC(=O)N2CCN(C(=O)Nc3ccc(N4CCN(c5ccccc5)CC4)cc3)CC2)cc1,7.631400000000002,0.5409411241851863,2.1418457381965954,513.6420000000004,3.940600000000003,0.0,8.687685988272936,-9.2131,-6.0234,3.1897,-0.567,xtb_success,0.663883722704007,0.7216666666666668,0.6812186058928049,8.687685988272936,8.960173430630057,159,118,-41,neutral,513.64,3.94,1,5,6,68.36,0.541,True,1,0.8466666666666667,True,0.661,10.283,False
84,5,COCc1ccc(Cc2ccc(C(=O)N3CCN([N+]4=CCCC4)CC3)cc2)cc1,7.630800000000005,0.7093646554495465,2.782292432833442,392.5230000000002,2.973700000000002,0.0,8.707253084441433,-7.1228,-6.6013,0.5215,-0.543,xtb_success,0.0815026062067233,0.7616666666666666,0.2855518243447063,8.707253084441433,8.821473814179315,106,197,91,physically_filtered,392.52,2.97,0,3,6,35.79,0.709,True,0,0.64,True,0.744,10.309,False
62,19,COCc1cc(Cc2ccc(OC)cc2)cc(CC(OC)OC)c1,7.627000000000013,0.6584987772648521,2.2852766953927333,330.4240000000001,3.5938000000000025,0.0,8.727721719093164,-10.1596,-6.1295,4.03,-0.36,xtb_success,0.8890404890652579,0.8999999999999999,0.8923283423456805,8.727721719093164,9.084653056031437,65,10,-55,physically_promoted,330.42,3.59,0,4,9,36.92,0.658,True,0,0.5353511518275269,True,0.786,10.656,False
17,10,NC(=O)CCc1ccc(-c2ccc(Cc3cc(CC(N)=O)ccn3)cc2)cc1,7.626300000000008,0.6349259130142562,2.1490646600472783,373.456,2.785100000000001,0.0,8.728856490502409,-10.0325,-6.767,3.2655,-0.532,xtb_success,0.6865602584822832,0.78,0.7145921809375981,8.728856490502409,9.014693362877448,61,58,-3,neutral,373.46,2.79,2,3,8,99.07,0.635,True,0,0.3333333333333333,False,0.867,10.748,True
10,9,O=COc1ccc(OCc2ccc(Cc3ccccn3)cc2)c(F)c1,7.625800000000009,0.6131250709504872,2.1877003404969795,337.35,3.925700000000002,0.0,8.713592501425554,-10.0023,-7.4127,2.5896,-0.433,xtb_success,0.48371783877534,0.945,0.622102487142738,8.713592501425554,8.96243349628265,95,116,21,neutral,337.35,3.93,0,4,7,48.42,0.613,True,0,0.5933333333333334,True,0.763,10.488,False
65,2,O=C([O-])Nc1ccc(N2CCN(C(=O)Cc3ccccc3)CC2)cc1,7.624100000000004,0.9125577540115644,2.116560851561257,338.38700000000006,1.333099999999999,0.0,8.868722791849661,-9.8614,-6.6017,3.2597,-0.63,xtb_success,0.6848328320880999,0.6166666666666667,0.6643829824616698,8.868722791849661,9.13447598483433,1,2,1,neutral,338.39,1.33,1,4,4,75.71,0.913,True,0,0.5966666666666667,True,0.761,10.657,False
2,6,COc1ccc(CC(=O)c2ccc(C(=O)NC[C@@H](C)N3CCOCC3)cc2)cc1,7.617500000000007,0.6949185972918274,2.4778336087519843,396.4870000000002,2.5711000000000004,0.0,8.717175937770723,-9.8735,-7.9977,1.8758,-0.527,xtb_success,0.2952070793516034,0.7883333333333333,0.4431449555461224,8.717175937770723,8.894433919989172,88,170,82,physically_filtered,396.49,2.57,1,5,8,67.87,0.695,True,0,0.59,True,0.764,10.422,False
