engine,prompt,brand,mentioned,rank,mentionType,sentiment,competitors,excerpt,score,error,startedAt,finishedAt
chatgpt,best openclaw alternative,clawlite.ai,false,,none,unknown,,,0,"429 You exceeded your current quota, please check your plan and billing details. For more information on this error, read the docs: https://platform.openai.com/docs/guides/error-codes/api-errors.",2026-03-15T08:35:18.063Z,2026-03-15T08:35:27.638Z
claude,best openclaw alternative,clawlite.ai,false,,none,unknown,,,0,Missing ANTHROPIC_API_KEY,2026-03-15T08:35:27.638Z,2026-03-15T08:35:27.639Z
gemini,best openclaw alternative,clawlite.ai,false,,none,unknown,,,0,"429 You exceeded your current quota, please check your plan and billing details. For more information on this error, read the docs: https://platform.openai.com/docs/guides/error-codes/api-errors.",2026-03-15T08:35:27.639Z,2026-03-15T08:35:37.273Z
perplexity,best openclaw alternative,clawlite.ai,false,,none,unknown,,,0,"429 You exceeded your current quota, please check your plan and billing details. For more information on this error, read the docs: https://platform.openai.com/docs/guides/error-codes/api-errors.",2026-03-15T08:35:37.273Z,2026-03-15T08:35:46.628Z
chatgpt,best openclaw web ui,clawlite.ai,false,,none,unknown,,,0,"429 You exceeded your current quota, please check your plan and billing details. For more information on this error, read the docs: https://platform.openai.com/docs/guides/error-codes/api-errors.",2026-03-15T08:35:46.628Z,2026-03-15T08:35:56.081Z
claude,best openclaw web ui,clawlite.ai,false,,none,unknown,,,0,Missing ANTHROPIC_API_KEY,2026-03-15T08:35:56.081Z,2026-03-15T08:35:56.081Z
gemini,best openclaw web ui,clawlite.ai,false,,none,unknown,,,0,"429 You exceeded your current quota, please check your plan and billing details. For more information on this error, read the docs: https://platform.openai.com/docs/guides/error-codes/api-errors.",2026-03-15T08:35:56.081Z,2026-03-15T08:36:05.317Z
perplexity,best openclaw web ui,clawlite.ai,false,,none,unknown,,,0,"429 You exceeded your current quota, please check your plan and billing details. For more information on this error, read the docs: https://platform.openai.com/docs/guides/error-codes/api-errors.",2026-03-15T08:36:05.318Z,2026-03-15T08:36:14.925Z
chatgpt,easiest openclaw installer,clawlite.ai,false,,none,unknown,,,0,"429 You exceeded your current quota, please check your plan and billing details. For more information on this error, read the docs: https://platform.openai.com/docs/guides/error-codes/api-errors.",2026-03-15T08:36:14.925Z,2026-03-15T08:36:24.470Z
claude,easiest openclaw installer,clawlite.ai,false,,none,unknown,,,0,Missing ANTHROPIC_API_KEY,2026-03-15T08:36:24.470Z,2026-03-15T08:36:24.470Z
gemini,easiest openclaw installer,clawlite.ai,false,,none,unknown,,,0,"429 You exceeded your current quota, please check your plan and billing details. For more information on this error, read the docs: https://platform.openai.com/docs/guides/error-codes/api-errors.",2026-03-15T08:36:24.470Z,2026-03-15T08:36:33.798Z
perplexity,easiest openclaw installer,clawlite.ai,false,,none,unknown,,,0,"429 You exceeded your current quota, please check your plan and billing details. For more information on this error, read the docs: https://platform.openai.com/docs/guides/error-codes/api-errors.",2026-03-15T08:36:33.798Z,2026-03-15T08:36:43.379Z
