period,red1,red2,red3,red4,red5,red6,blue,red_numbers,full_number,red_sum
2003001,10,11,12,13,26,28,11,10 11 12 13 26 28,10 11 12 13 26 28 + 11,100
2003002,4,9,19,20,21,26,12,4 9 19 20 21 26,4 9 19 20 21 26 + 12,99
2003003,1,7,10,23,28,32,16,1 7 10 23 28 32,1 7 10 23 28 32 + 16,101
2003004,4,6,7,10,13,25,3,4 6 7 10 13 25,4 6 7 10 13 25 + 3,65
2003005,4,6,15,17,30,31,16,4 6 15 17 30 31,4 6 15 17 30 31 + 16,103
2003006,1,3,10,21,26,27,6,1 3 10 21 26 27,1 3 10 21 26 27 + 6,88
2003007,1,9,19,21,23,26,7,1 9 19 21 23 26,1 9 19 21 23 26 + 7,99
2003008,5,8,9,14,17,23,8,5 8 9 14 17 23,5 8 9 14 17 23 + 8,76
2003009,5,9,18,20,22,30,9,5 9 18 20 22 30,5 9 18 20 22 30 + 9,104
2003010,1,2,8,13,17,24,13,1 2 8 13 17 24,1 2 8 13 17 24 + 13,65
2003011,4,5,11,12,30,32,15,4 5 11 12 30 32,4 5 11 12 30 32 + 15,94
2003012,2,12,16,17,27,30,12,2 12 16 17 27 30,2 12 16 17 27 30 + 12,104
2003013,8,13,17,21,23,32,12,8 13 17 21 23 32,8 13 17 21 23 32 + 12,114
2003014,3,5,7,8,21,31,2,3 5 7 8 21 31,3 5 7 8 21 31 + 2,75
2003015,4,11,19,25,26,32,13,4 11 19 25 26 32,4 11 19 25 26 32 + 13,117
2003016,11,17,28,30,31,33,6,11 17 28 30 31 33,11 17 28 30 31 33 + 6,150
2003017,5,8,18,23,25,31,6,5 8 18 23 25 31,5 8 18 23 25 31 + 6,110
2003018,5,16,19,20,25,28,13,5 16 19 20 25 28,5 16 19 20 25 28 + 13,113
2003019,4,8,12,13,16,33,9,4 8 12 13 16 33,4 8 12 13 16 33 + 9,86
2003020,7,10,25,26,27,32,4,7 10 25 26 27 32,7 10 25 26 27 32 + 4,127
2003021,14,15,18,25,26,30,1,14 15 18 25 26 30,14 15 18 25 26 30 + 1,128
2003022,2,7,11,12,14,32,8,2 7 11 12 14 32,2 7 11 12 14 32 + 8,78
2003023,1,10,20,22,26,31,2,1 10 20 22 26 31,1 10 20 22 26 31 + 2,110
2003024,2,7,15,17,22,30,14,2 7 15 17 22 30,2 7 15 17 22 30 + 14,93
2003025,1,5,11,13,14,27,12,1 5 11 13 14 27,1 5 11 13 14 27 + 12,71
2003026,8,13,15,26,29,31,16,8 13 15 26 29 31,8 13 15 26 29 31 + 16,122
2003027,1,11,14,17,27,28,15,1 11 14 17 27 28,1 11 14 17 27 28 + 15,98
2003028,6,13,16,20,28,32,7,6 13 16 20 28 32,6 13 16 20 28 32 + 7,115
2003029,2,7,15,26,29,32,10,2 7 15 26 29 32,2 7 15 26 29 32 + 10,111
2003030,2,6,13,14,23,27,7,2 6 13 14 23 27,2 6 13 14 23 27 + 7,85
2003031,11,17,20,22,28,32,1,11 17 20 22 28 32,11 17 20 22 28 32 + 1,130
2003032,4,11,25,27,29,30,13,4 11 25 27 29 30,4 11 25 27 29 30 + 13,126
2003033,1,7,14,20,27,30,10,1 7 14 20 27 30,1 7 14 20 27 30 + 10,99
2003034,8,13,14,16,23,25,14,8 13 14 16 23 25,8 13 14 16 23 25 + 14,99
2003035,3,4,5,8,10,11,8,3 4 5 8 10 11,3 4 5 8 10 11 + 8,41
2003036,7,21,24,25,27,28,15,7 21 24 25 27 28,7 21 24 25 27 28 + 15,132
2003037,9,14,17,18,26,32,7,9 14 17 18 26 32,9 14 17 18 26 32 + 7,116
2003038,5,7,8,24,25,27,16,5 7 8 24 25 27,5 7 8 24 25 27 + 16,96
2003039,3,5,23,24,27,32,3,3 5 23 24 27 32,3 5 23 24 27 32 + 3,114
2003040,4,5,6,12,14,23,16,4 5 6 12 14 23,4 5 6 12 14 23 + 16,64
2003041,2,3,17,18,24,25,11,2 3 17 18 24 25,2 3 17 18 24 25 + 11,89
2003042,3,5,7,10,15,20,7,3 5 7 10 15 20,3 5 7 10 15 20 + 7,60
2003043,2,8,10,19,20,32,13,2 8 10 19 20 32,2 8 10 19 20 32 + 13,91
2003044,2,5,9,16,32,33,15,2 5 9 16 32 33,2 5 9 16 32 33 + 15,97
2003045,3,7,14,15,17,32,3,3 7 14 15 17 32,3 7 14 15 17 32 + 3,88
2003046,7,8,10,11,17,26,11,7 8 10 11 17 26,7 8 10 11 17 26 + 11,79
2003047,3,17,26,28,32,33,16,3 17 26 28 32 33,3 17 26 28 32 33 + 16,139
2003048,10,12,20,28,30,31,9,10 12 20 28 30 31,10 12 20 28 30 31 + 9,131
2003049,3,6,7,13,24,25,15,3 6 7 13 24 25,3 6 7 13 24 25 + 15,78
2003050,2,8,17,23,24,26,13,2 8 17 23 24 26,2 8 17 23 24 26 + 13,100
2003051,4,13,15,17,24,27,1,4 13 15 17 24 27,4 13 15 17 24 27 + 1,100
2003052,1,12,13,23,30,31,11,1 12 13 23 30 31,1 12 13 23 30 31 + 11,110
2003053,15,19,20,21,28,29,13,15 19 20 21 28 29,15 19 20 21 28 29 + 13,132
2003054,2,5,9,21,31,33,12,2 5 9 21 31 33,2 5 9 21 31 33 + 12,101
2003055,6,13,16,21,28,31,16,6 13 16 21 28 31,6 13 16 21 28 31 + 16,115
2003056,8,17,21,26,28,29,7,8 17 21 26 28 29,8 17 21 26 28 29 + 7,129
2003057,18,19,24,25,30,31,16,18 19 24 25 30 31,18 19 24 25 30 31 + 16,147
2003058,9,11,16,28,32,33,2,9 11 16 28 32 33,9 11 16 28 32 33 + 2,129
2003059,2,3,5,6,18,30,4,2 3 5 6 18 30,2 3 5 6 18 30 + 4,64
2003060,2,4,6,17,21,28,11,2 4 6 17 21 28,2 4 6 17 21 28 + 11,78
2003061,3,5,20,21,28,32,2,3 5 20 21 28 32,3 5 20 21 28 32 + 2,109
2003062,1,6,12,19,20,32,14,1 6 12 19 20 32,1 6 12 19 20 32 + 14,90
2003063,5,8,9,14,21,33,11,5 8 9 14 21 33,5 8 9 14 21 33 + 11,90
2003064,4,6,8,12,15,30,1,4 6 8 12 15 30,4 6 8 12 15 30 + 1,75
2003065,6,15,16,17,30,33,11,6 15 16 17 30 33,6 15 16 17 30 33 + 11,117
2003066,3,7,8,20,24,32,14,3 7 8 20 24 32,3 7 8 20 24 32 + 14,94
2003067,5,11,12,13,27,31,10,5 11 12 13 27 31,5 11 12 13 27 31 + 10,99
2003068,9,19,25,27,32,33,11,9 19 25 27 32 33,9 19 25 27 32 33 + 11,145
2003069,7,11,16,19,26,28,11,7 11 16 19 26 28,7 11 16 19 26 28 + 11,107
2003070,1,2,4,17,18,19,8,1 2 4 17 18 19,1 2 4 17 18 19 + 8,61
2003071,9,11,12,14,15,33,11,9 11 12 14 15 33,9 11 12 14 15 33 + 11,94
2003072,3,6,8,11,19,27,11,3 6 8 11 19 27,3 6 8 11 19 27 + 11,74
2003073,2,12,14,21,23,30,13,2 12 14 21 23 30,2 12 14 21 23 30 + 13,102
2003074,2,12,19,22,27,32,1,2 12 19 22 27 32,2 12 19 22 27 32 + 1,114
2003075,16,17,19,22,31,33,11,16 17 19 22 31 33,16 17 19 22 31 33 + 11,138
2003076,1,13,16,18,20,29,2,1 13 16 18 20 29,1 13 16 18 20 29 + 2,97
2003077,4,12,16,22,24,25,6,4 12 16 22 24 25,4 12 16 22 24 25 + 6,103
2003078,7,12,23,26,29,30,11,7 12 23 26 29 30,7 12 23 26 29 30 + 11,127
2003079,12,15,22,23,26,31,4,12 15 22 23 26 31,12 15 22 23 26 31 + 4,129
2003080,9,20,24,25,28,30,10,9 20 24 25 28 30,9 20 24 25 28 30 + 10,136
2003081,1,2,14,26,29,30,7,1 2 14 26 29 30,1 2 14 26 29 30 + 7,102
2003082,7,17,18,19,30,31,14,7 17 18 19 30 31,7 17 18 19 30 31 + 14,122
2003083,1,3,14,18,26,28,1,1 3 14 18 26 28,1 3 14 18 26 28 + 1,90
2003084,2,6,7,10,17,33,3,2 6 7 10 17 33,2 6 7 10 17 33 + 3,75
2003085,1,4,11,12,19,27,14,1 4 11 12 19 27,1 4 11 12 19 27 + 14,74
2003086,5,12,16,18,26,30,13,5 12 16 18 26 30,5 12 16 18 26 30 + 13,107
2003087,2,3,4,5,24,28,13,2 3 4 5 24 28,2 3 4 5 24 28 + 13,66
2003088,3,10,21,22,24,33,12,3 10 21 22 24 33,3 10 21 22 24 33 + 12,113
2003089,18,19,21,26,27,33,16,18 19 21 26 27 33,18 19 21 26 27 33 + 16,144
2004001,1,2,3,7,10,25,7,1 2 3 7 10 25,1 2 3 7 10 25 + 7,48
2004002,10,12,18,22,30,31,11,10 12 18 22 30 31,10 12 18 22 30 31 + 11,123
2004003,3,5,6,17,26,33,8,3 5 6 17 26 33,3 5 6 17 26 33 + 8,90
2004004,10,19,22,23,25,29,9,10 19 22 23 25 29,10 19 22 23 25 29 + 9,128
2004005,9,11,13,16,17,18,7,9 11 13 16 17 18,9 11 13 16 17 18 + 7,84
2004006,4,12,18,20,23,32,6,4 12 18 20 23 32,4 12 18 20 23 32 + 6,109
2004007,4,12,17,20,25,28,9,4 12 17 20 25 28,4 12 17 20 25 28 + 9,106
2004008,1,7,10,22,32,33,13,1 7 10 22 32 33,1 7 10 22 32 33 + 13,105
