文物名称,展厅,时期,参观顺序,是否镇馆之宝,文物种类,所属领域,人员类别,,,,,,,,,
镶嵌十字纹方钺,中国古代青铜馆,夏商西周,1,t,铜器,['武器'],1,,,,,,,,,
牺尊,中国古代青铜馆,夏商西周,2,t,铜器,"['礼制', '饮食']",0,,,,,,,,,
晋侯稣钟,中国古代青铜馆,三国两晋南北朝,3,t,铜器,['乐器'],0,,,,,,,,,
战国商鞅方升,中国古代青铜馆,春秋战国,4,t,铜器,['科技'],0,,,,,,,,,
大克鼎,中国古代青铜馆,夏商西周,5,t,铜器,"['礼制', '陈设品']",0,,,,,,,,,
管流爵,中国古代青铜馆,夏商西周,6,f,铜器,"['饮食', '礼制']",0,,,,,,,,,
兽面纹斝_1,中国古代青铜馆,夏商西周,7,f,铜器,"['礼制', '饮食']",0,,,,,,,,,
商父乙觥,中国古代青铜馆,夏商西周,8,f,铜器,"['饮食', '礼制']",0,,,,,,,,,
亚夫方罍,中国古代青铜馆,夏商西周,9,f,铜器,"['礼制', '饮食']",0,,,,,,,,,
戊箙卣,中国古代青铜馆,夏商西周,10,f,铜器,"['礼制', '饮食']",0,,,,,,,,,
鄂叔簋,中国古代青铜馆,夏商西周,11,f,铜器,"['礼制', '饮食']",0,,,,,,,,,
吴王夫差鉴,中国古代青铜馆,春秋战国,12,f,铜器,"['礼制', '饮食']",0,,,,,,,,,
兽面纹觚,中国古代青铜馆,夏商西周,13,f,铜器,"['礼制', '饮食']",0,,,,,,,,,
子仲姜盘,中国古代青铜馆,春秋战国,14,f,铜器,"['礼制', '饮食']",0,,,,,,,,,
小臣单觯,中国古代青铜馆,夏商西周,15,f,铜器,"['礼制', '饮食']",0,,,,,,,,,
倗生簋,中国古代青铜馆,夏商西周,16,f,铜器,"['礼制', '饮食']",0,,,,,,,,,
德鼎,中国古代青铜馆,夏商西周,17,f,铜器,"['礼制', '饮食']",0,,,,,,,,,
黄觚,中国古代青铜馆,夏商西周,18,f,铜器,"['礼制', '饮食']",0,,,,,,,,,
八牛贮贝器,中国古代青铜馆,秦汉,19,f,铜器,"['货币', '陈设品']",0,,,,,,,,,
兽面纹铜鼎,中国古代青铜馆,夏商西周,20,f,铜器,"['礼制', '饮食']",0,,,,,,,,,
兽面纹斝_2,中国古代青铜馆,夏商西周,21,f,铜器,"['礼制', '饮食']",0,,,,,,,,,
镶嵌狩猎纹豆,中国古代青铜馆,春秋战国,22,f,铜器,"['礼制', '饮食', '纹饰']",0,,,,,,,,,
兽面纹爵,中国古代青铜馆,夏商西周,23,f,铜器,"['礼制', '饮食']",0,,,,,,,,,
兽面纹鬲,中国古代青铜馆,夏商西周,24,f,铜器,"['礼制', '饮食']",0,,,,,,,,,
透雕蟠龙鼓座,中国古代青铜馆,春秋战国,25,f,铜器,"['乐器', '纹饰']",0,,,,,,,,,
吴王光剑,中国古代青铜馆,春秋战国,26,t,铜器,['武器'],0,,,,,,,,,
郘钟,中国古代青铜馆,春秋战国,27,f,铜器,['乐器'],0,,,,,,,,,
父庚觯铸造过程示意模型,中国古代青铜馆,夏商西周,28,f,铜器,"['科技', '礼制']",0,,,,,,,,,
透光镜_2,中国古代青铜馆,秦汉,29,t,铜器,"['仪器', '纹饰']",0,,,,,,,,,
师遽方彝,中国古代青铜馆,夏商西周,30,f,铜器,"['礼制', '饮食']",0,,,,,,,,,
迦叶木雕头像,中国古代雕塑馆,隋唐五代,31,f,其他,"['雕像', '佛教']",0,,,,,,,,,
菩萨石像,中国古代雕塑馆,隋唐五代,32,f,石器石刻,"['雕像', '佛教']",0,,,,,,,,,
阿弥陀佛三尊铜像,中国古代雕塑馆,隋唐五代,33,f,铜器,"['雕像', '佛教']",0,,,,,,,,,
释迦牟尼佛石像,中国古代雕塑馆,隋唐五代,34,f,石器石刻,"['雕像', '佛教']",0,,,,,,,,,
东汉抚琴陶俑,中国古代雕塑馆,秦汉,35,f,陶器,"['雕像', '人物', '乐器']",0,,,,,,,,,
王龙生等造佛像石碑,中国古代雕塑馆,三国两晋南北朝,36,f,石器石刻,"['雕像', '佛教']",0,,,,,,,,,
北齐佛石像,中国古代雕塑馆,三国两晋南北朝,37,f,石器石刻,"['雕像', '佛教']",0,,,,,,,,,
唐陶仕女彩绘俑,中国古代雕塑馆,隋唐五代,38,f,陶器,"['雕像', '人物']",0,,,,,,,,,
宋菩萨漆金彩绘木像,中国古代雕塑馆,辽宋夏金元,39,f,漆器,"['雕像', '佛教']",0,,,,,,,,,
三螭纹玉觚,中国古代玉器馆,明清,40,t,玉器宝石,"['礼制', '陈设品']",0,,,,,,,,,
春水玉饰,中国古代玉器馆,辽宋夏金元,41,f,玉器宝石,"['饰品', '纹饰']",0,,,,,,,,,
龙凤纹玉剑璏,中国古代玉器馆,秦汉,42,f,玉器宝石,"['武器', '饰品']",0,,,,,,,,,
玉神人,中国古代玉器馆,远古时期,43,t,玉器宝石,"['雕像', '人物', '佛教']",0,,,,,,,,,
神像飞鸟纹琮,中国古代玉器馆,远古时期,44,f,玉器宝石,"['礼制', '佛教', '纹饰']",0,,,,,,,,,
神人首,中国古代玉器馆,远古时期,45,f,玉器宝石,"['雕像', '人物', '佛教']",0,,,,,,,,,
神面纹玉琮,中国古代玉器馆,远古时期,46,f,玉器宝石,"['礼制', '佛教', '纹饰']",0,,,,,,,,,
四灵纹玉胜,中国古代玉器馆,秦汉,47,f,玉器宝石,"['饰品', '纹饰']",0,,,,,,,,,
兽面纹玉戚,中国古代玉器馆,夏商西周,48,f,玉器宝石,"['武器', '纹饰']",0,,,,,,,,,
玉权杖,中国古代玉器馆,远古时期,49,f,玉器宝石,"['礼制', '武器']",0,,,,,,,,,
凤龙纹玉饰,中国古代玉器馆,春秋战国,50,f,玉器宝石,"['饰品', '纹饰']",0,,,,,,,,,
重环谷纹玉璧,中国古代玉器馆,秦汉,51,f,玉器宝石,"['礼制', '饰品']",0,,,,,,,,,
龙纹鲜卑头,中国古代玉器馆,三国两晋南北朝,52,f,玉器宝石,"['饰品', '纹饰']",0,,,,,,,,,
云龙纹葵口玉盘,中国古代玉器馆,明清,53,f,玉器宝石,"['饮食', '纹饰']",0,,,,,,,,,
鹰攫人首玉佩,中国古代玉器馆,远古时期,54,f,玉器宝石,"['饰品', '纹饰']",1,,,,,,,,,
莲鹭纹炉顶,中国古代玉器馆,辽宋夏金元,55,f,玉器宝石,"['陈设品', '纹饰']",0,,,,,,,,,
嵌宝八角盒,中国古代玉器馆,明清,56,f,金银器,"['陈设品', '饰品']",0,,,,,,,,,
近代胡钁硬黄一卷写兰亭石章,中国历代玺印篆刻馆,明清,57,f,石器石刻,['牌章证件'],0,,,,,,,,,
赵之谦赐兰堂石章,中国历代玺印篆刻馆,明清,58,f,石器石刻,['牌章证件'],0,,,,,,,,,
