文物名称,展厅,时期,参观顺序,是否镇馆之宝,文物种类,所属领域,人员类别,,,,,,,,,
元谋人上门齿,远古时期,远古时期,1,f,化石,"[""古生物""]",0,,,,,,,,,
蓝田人头骨,远古时期,远古时期,2,f,化石,"[""古生物""]",1,,,,,,,,,
郧县人头骨,远古时期,远古时期,3,f,化石,"[""古生物""]",1,,,,,,,,,
北京人头盖骨,远古时期,远古时期,4,f,化石,"[""古生物""]",1,,,,,,,,,
石锤石砧,远古时期,远古时期,5,f,石器石刻,"[""旧石器""]",0,,,,,,,,,
砍砸器_2,远古时期,远古时期,6,f,石器石刻,"[""旧石器""]",0,,,,,,,,,
灰烬,远古时期,远古时期,7,f,其他,"[""其他""]",1,,,,,,,,,
烧骨,远古时期,远古时期,8,f,化石,"[""狩猎"", ""古生物""]",1,,,,,,,,,
剑齿虎头骨上犬齿化石,远古时期,远古时期,9,f,化石,"[""古生物""]",1,,,,,,,,,
肿骨鹿下颌骨化石,远古时期,远古时期,10,f,化石,"[""古生物""]",0,,,,,,,,,
葛氏斑鹿角及下颌骨化石,远古时期,远古时期,11,f,化石,"[""古生物""]",0,,,,,,,,,
原始牛犄角,远古时期,远古时期,12,f,化石,"[""古生物""]",0,,,,,,,,,
柳江人头骨,远古时期,远古时期,13,f,化石,"[""古生物""]",1,,,,,,,,,
马坝人头骨,远古时期,远古时期,14,f,化石,"[""古生物""]",1,,,,,,,,,
金牛山人头骨,远古时期,远古时期,15,f,化石,"[""古生物""]",1,,,,,,,,,
山顶洞人头骨,远古时期,远古时期,16,f,化石,"[""古生物""]",1,,,,,,,,,
石球,远古时期,远古时期,17,f,石器石刻,"[""旧石器"", ""狩猎""]",0,,,,,,,,,
大三棱尖状石器,远古时期,远古时期,18,f,石器石刻,"[""旧石器""]",0,,,,,,,,,
鹿角铲,远古时期,远古时期,19,f,石器石刻,"[""旧石器""]",0,,,,,,,,,
骨鱼镖,远古时期,远古时期,20,f,石器石刻,"[""旧石器"", ""狩猎""]",0,,,,,,,,,
骨针_2,远古时期,远古时期,21,f,化石,"[""旧石器"", ""科技""]",0,,,,,,,,,
穿孔兽牙,远古时期,远古时期,22,f,化石,"[""饰品""]",0,,,,,,,,,
饰珠,远古时期,远古时期,23,f,玉器宝石,"[""饰品""]",0,,,,,,,,,
