文物名称,展厅,时期,参观顺序,是否镇馆之宝,文物种类,所属领域,人员类别,,,,,,,,,
金累丝龙纹嵌珍珠宝石帽顶,珠光宝气,明清,1,f,金银器,"['饰品', '礼制']",0,,,,,,,,,
点翠嵌珍珠宝石金龙凤冠,珠光宝气,明清,2,f,金银器,"['饰品', '礼制']",0,,,,,,,,,
貂皮嵌珠皇后冬朝冠,珠光宝气,明清,3,f,服饰,"['服装', '饰品', '礼制']",0,,,,,,,,,
金嵌珍珠宝石圆花,珠光宝气,明清,4,f,金银器,"['饰品', '礼制']",0,,,,,,,,,
金嵌珍珠宝石帽花,珠光宝气,明清,5,f,金银器,"['饰品', '礼制']",0,,,,,,,,,
金累丝嵌珍珠宝石九凤钿口,珠光宝气,明清,6,f,金银器,"['饰品', '礼制']",0,,,,,,,,,
金累丝嵌珍珠宝石五凤钿,珠光宝气,明清,7,f,金银器,"['饰品', '礼制']",0,,,,,,,,,
金嵌珍珠宝石蜻蜓式簪,珠光宝气,明清,8,f,金银器,"['饰品', '礼制']",0,,,,,,,,,
金镂空嵌宝石富贵吉祥扁方,珠光宝气,明清,9,f,金银器,"['饰品', '礼制']",0,,,,,,,,,
金镂空嵌珠石扁方,珠光宝气,明清,10,f,金银器,"['饰品', '礼制']",0,,,,,,,,,
镶青金石金约,珠光宝气,明清,11,f,金银器,"['饰品', '礼制']",0,,,,,,,,,
银镀金镶珊瑚领约,珠光宝气,明清,12,f,金银器,"['饰品', '礼制']",0,,,,,,,,,
银镀金点翠串珠流苏,珠光宝气,明清,13,f,金银器,"['饰品', '礼制']",0,,,,,,,,,
碧玺手串,珠光宝气,明清,14,f,玉器宝石,['饰品'],0,,,,,,,,,
翠十八子手串,珠光宝气,明清,15,f,玉器宝石,['饰品'],0,,,,,,,,,
伽南香木嵌金珠寿字手镯,珠光宝气,明清,16,f,玉器宝石,['饰品'],0,,,,,,,,,
金镶珍珠耳环,珠光宝气,明清,17,f,金银器,['饰品'],0,,,,,,,,,
东珠朝珠,珠光宝气,明清,18,t,玉器宝石,"['饰品', '礼制']",0,,,,,,,,,
金胎绿珐琅嵌红宝石高足盖碗,珠光宝气,明清,19,f,金银器,"['饮食', '陈设品']",0,,,,,,,,,
翠镶金里扳指,珠光宝气,明清,20,f,玉器宝石,['饰品'],0,,,,,,,,,
金镶珍珠翡翠戒指,珠光宝气,明清,21,f,玉器宝石,['饰品'],0,,,,,,,,,
白玉错金嵌宝石碗,珠光宝气,明清,22,f,玉器宝石,"['饮食', '陈设品']",0,,,,,,,,,
银胎绿珐琅嵌红宝石右旋螺盒,珠光宝气,明清,23,t,金银器,"['饰品', '陈设品']",0,,,,,,,,,
金嵌珊瑚松石斋戒牌,珠光宝气,明清,24,f,金银器,"['牌章证件', '饰品']",0,,,,,,,,,
金嵌珠宝带饰丝带,珠光宝气,明清,25,f,金银器,"['饰品', '服装']",0,,,,,,,,,
金累丝点翠嵌珍珠香囊,珠光宝气,明清,26,f,金银器,"['饰品', '陈设品']",0,,,,,,,,,
碧玺巧雕松鼠葡萄纹佩,珠光宝气,明清,27,f,玉器宝石,['饰品'],0,,,,,,,,,
碧玺雕瓜形佩,珠光宝气,明清,28,f,玉器宝石,['饰品'],0,,,,,,,,,
翡翠嵌珠宝鱼式盒,珠光宝气,明清,29,f,玉器宝石,"['饰品', '陈设品']",0,,,,,,,,,
金錾花卉纹嵌宝石盒,珠光宝气,明清,30,f,金银器,"['饰品', '陈设品']",0,,,,,,,,,
金亭式香薰,金昭银辉,明清,31,f,金银器,"['陈设品', '礼制']",0,,,,,,,,,
金甪端香熏,金昭银辉,明清,32,f,金银器,"['陈设品', '礼制']",0,,,,,,,,,
金云龙纹提炉,金昭银辉,明清,33,f,金银器,"['陈设品', '礼制']",0,,,,,,,,,
金双凤纹盆,金昭银辉,明清,34,f,金银器,"['陈设品', '礼制']",0,,,,,,,,,
金爵杯,金昭银辉,明清,35,f,金银器,"['饮食', '礼制']",0,,,,,,,,,
金錾花卉纹嵌珠宝如意式香薰,金昭银辉,明清,36,f,金银器,"['陈设品', '礼制']",0,,,,,,,,,
金胎珊瑚雕云龙福寿纹桃式盒,金昭银辉,明清,37,f,金银器,"['陈设品', '礼制']",0,,,,,,,,,
金錾夔龙宝相花纹扁壶,金昭银辉,明清,38,f,金银器,"['陈设品', '礼制']",0,,,,,,,,,
金盖托白玉杯,金昭银辉,明清,39,f,金银器,"['饮食', '陈设品']",0,,,,,,,,,
银方斗式套杯,金昭银辉,明清,40,f,金银器,"['饮食', '陈设品']",0,,,,,,,,,
银錾山水人物图提梁壶,金昭银辉,明清,41,f,金银器,"['陈设品', '饰品', '绘画', '人物']",0,,,,,,,,,
金嵌珍珠天球仪,金昭银辉,明清,42,f,金银器,"['仪器', '科技']",0,,,,,,,,,
银累丝瓜棱式瓶,金昭银辉,明清,43,f,金银器,"['花瓶', '陈设品']",0,,,,,,,,,
金镂空大吉葫芦式香薰,金昭银辉,明清,44,f,金银器,"['陈设品', '饰品', '礼制']",0,,,,,,,,,
金奉天之宝玺,金昭银辉,明清,45,f,金银器,"['牌章证件', '礼制']",0,,,,,,,,,
金胎掐丝珐琅嵌画珐琅人物图葫芦式执壶,金昭银辉,明清,46,f,金银器,"['陈设品', '饰品', '绘画', '人物']",0,,,,,,,,,
金錾双喜团寿字茶碗,金昭银辉,明清,47,f,金银器,"['饮食', '饰品', '礼制']",0,,,,,,,,,
金胎画珐琅杯盘,金昭银辉,明清,48,f,金银器,"['饮食', '陈设品']",0,,,,,,,,,
金錾云龙纹嵌珠杯盘,金昭银辉,明清,49,f,金银器,"['饮食', '陈设品', '纹饰']",0,,,,,,,,,
金嵌珍珠松石楼式佛龛,金昭银辉,明清,50,f,金银器,"['佛教', '陈设品', '建筑']",0,,,,,,,,,
金盖托白玉碗,金昭银辉,明清,51,f,金银器,"['饮食', '陈设品']",0,,,,,,,,,
金嵌珍珠宝石藏经匣,金昭银辉,明清,52,f,金银器,"['佛教', '陈设品']",0,,,,,,,,,
金嵌松石佛瓶,金昭银辉,明清,53,f,金银器,"['佛教', '陈设品', '花瓶']",0,,,,,,,,,
金錾花嵌松石军持,金昭银辉,明清,54,f,金银器,"['佛教', '陈设品']",0,,,,,,,,,
金嵌珍珠宝石七珍,金昭银辉,明清,55,f,金银器,"['佛教', '饰品']",0,,,,,,,,,
金嵌珍珠宝石八宝,金昭银辉,明清,56,f,金银器,"['佛教', '饰品']",0,,,,,,,,,
金累丝嵌松石坛城,金昭银辉,明清,57,f,金银器,"['佛教', '陈设品']",0,,,,,,,,,
金嵌宝石释迦牟尼像,金昭银辉,明清,58,f,金银器,"['佛教', '雕像']",0,,,,,,,,,
金嵌珍珠弥勒立像,金昭银辉,明清,59,f,金银器,"['佛教', '雕像']",0,,,,,,,,,
金累丝嵌珍珠宝石覆钵式塔,金昭银辉,明清,60,f,金银器,"['佛教', '建筑', '陈设品']",0,,,,,,,,,
金累丝万年如意,金昭银辉,明清,61,f,金银器,"['饰品', '陈设品']",0,,,,,,,,,
金嵌宝石八角覆钵式塔,金昭银辉,明清,62,f,金银器,"['佛教', '饰品', '建筑']",0,,,,,,,,,
玛瑙雕螭耳杯,球琳集萃,明清,63,f,玉器宝石,"['饮食', '饰品']",0,,,,,,,,,
玛瑙雕撇口碗,球琳集萃,明清,64,f,玉器宝石,"['饮食', '饰品']",0,,,,,,,,,
