display_name,turn_index,action_type,text_content,response_agent,description,tags,evaluation_id,tool_name,tool_call_args_json,expectation_note
smoke_warranty,1,INPUT_TEXT,warranty,,Synthetic smoke test for intent: Warranty,synthetic;migrated_from_cx,,,,
,1,EXPECTATION_TEXT,,root_agent,,,,,,
smoke_diagnostic_check,1,INPUT_TEXT,Could you please run a diagnostic check?,,Synthetic smoke test for intent: Diagnostic Check,synthetic;migrated_from_cx,,,,
,1,EXPECTATION_TEXT,,root_agent,,,,,,
smoke_sales_showroom,1,INPUT_TEXT,Sales showroom,,Synthetic smoke test for intent: Sales Showroom,synthetic;migrated_from_cx,,,,
,1,EXPECTATION_TEXT,,root_agent,,,,,,
smoke_shield_of_trust,1,INPUT_TEXT,shield of trust,,Synthetic smoke test for intent: Shield of Trust,synthetic;migrated_from_cx,,,,
,1,EXPECTATION_TEXT,,root_agent,,,,,,
smoke_service_cost_calculator,1,INPUT_TEXT,What is the price for this service?,,Synthetic smoke test for intent: Service cost calculator,synthetic;migrated_from_cx,,,,
,1,EXPECTATION_TEXT,,root_agent,,,,,,
smoke_no,1,INPUT_TEXT,No,,Synthetic smoke test for intent: NO,synthetic;migrated_from_cx,,,,
,1,EXPECTATION_TEXT,,root_agent,,,,,,
smoke_faq,1,INPUT_TEXT,What services do you provide?,,Synthetic smoke test for intent: FAQ,synthetic;migrated_from_cx,,,,
,1,EXPECTATION_TEXT,,root_agent,,,,,,
smoke_repair,1,INPUT_TEXT,I need to get my device repaired,,Synthetic smoke test for intent: Repair,synthetic;migrated_from_cx,,,,
,1,EXPECTATION_TEXT,,root_agent,,,,,,
smoke_raise_a_complain,1,INPUT_TEXT,I need to make a complaint,,Synthetic smoke test for intent: Raise a Complain,synthetic;migrated_from_cx,,,,
,1,EXPECTATION_TEXT,,root_agent,,,,,,
smoke_buy_now,1,INPUT_TEXT,Buy Now,,Synthetic smoke test for intent: Buy Now,synthetic;migrated_from_cx,,,,
,1,EXPECTATION_TEXT,,root_agent,,,,,,
smoke_my_app,1,INPUT_TEXT,Can I use My App?,,Synthetic smoke test for intent: My App,synthetic;migrated_from_cx,,,,
,1,EXPECTATION_TEXT,,root_agent,,,,,,
smoke_android,1,INPUT_TEXT,ANDROID,,Synthetic smoke test for intent: Android,synthetic;migrated_from_cx,,,,
,1,EXPECTATION_TEXT,,root_agent,,,,,,
smoke_ios,1,INPUT_TEXT,Apple,,Synthetic smoke test for intent: IOS,synthetic;migrated_from_cx,,,,
,1,EXPECTATION_TEXT,,root_agent,,,,,,
smoke_play_&_win_car,1,INPUT_TEXT,play and win car,,Synthetic smoke test for intent: Play & Win Car,synthetic;migrated_from_cx,,,,
,1,EXPECTATION_TEXT,,root_agent,,,,,,
smoke_connect_with_agent,1,INPUT_TEXT,I need to speak to someone now,,Synthetic smoke test for intent: Connect With Agent,synthetic;migrated_from_cx,,,,
,1,EXPECTATION_TEXT,,root_agent,,,,,,
smoke_explore_car,1,INPUT_TEXT,explore car,,Synthetic smoke test for intent: Explore car,synthetic;migrated_from_cx,,,,
,1,EXPECTATION_TEXT,,root_agent,,,,,,
smoke_request_test_drive,1,INPUT_TEXT,Request test drive,,Synthetic smoke test for intent: Request Test Drive,synthetic;migrated_from_cx,,,,
,1,EXPECTATION_TEXT,,root_agent,,,,,,
smoke_ask_for_rating,1,INPUT_TEXT,ask for rating,,Synthetic smoke test for intent: Ask for Rating,synthetic;migrated_from_cx,,,,
,1,EXPECTATION_TEXT,,root_agent,,,,,,
smoke_complaint_and_feedback,1,INPUT_TEXT,feedback,,Synthetic smoke test for intent: Complaint and Feedback,synthetic;migrated_from_cx,,,,
,1,EXPECTATION_TEXT,,root_agent,,,,,,
smoke_book_a_service,1,INPUT_TEXT,I need to get my car serviced,,Synthetic smoke test for intent: Book a Service,synthetic;migrated_from_cx,,,,
,1,EXPECTATION_TEXT,,root_agent,,,,,,
smoke_care,1,INPUT_TEXT,Customer Service,,Synthetic smoke test for intent: Care,synthetic;migrated_from_cx,,,,
,1,EXPECTATION_TEXT,,root_agent,,,,,,
smoke_general_queries,1,INPUT_TEXT,faq,,Synthetic smoke test for intent: General Queries,synthetic;migrated_from_cx,,,,
,1,EXPECTATION_TEXT,,root_agent,,,,,,
smoke_yes,1,INPUT_TEXT,yes,,Synthetic smoke test for intent: YES,synthetic;migrated_from_cx,,,,
,1,EXPECTATION_TEXT,,root_agent,,,,,,
smoke_service_workshop,1,INPUT_TEXT,Service workshop,,Synthetic smoke test for intent: Service Workshop,synthetic;migrated_from_cx,,,,
,1,EXPECTATION_TEXT,,root_agent,,,,,,
smoke_agent,1,INPUT_TEXT,connect with agent,,Synthetic smoke test for intent: agent,synthetic;migrated_from_cx,,,,
,1,EXPECTATION_TEXT,,root_agent,,,,,,
smoke_find_dealer,1,INPUT_TEXT,Find dealer,,Synthetic smoke test for intent: Find Dealer,synthetic;migrated_from_cx,,,,
,1,EXPECTATION_TEXT,,root_agent,,,,,,
smoke_explore_car_service,1,INPUT_TEXT,Car Service,,Synthetic smoke test for intent: Explore Car Service,synthetic;migrated_from_cx,,,,
,1,EXPECTATION_TEXT,,root_agent,,,,,,
smoke_specialized_service,1,INPUT_TEXT,Specialized Service,,Synthetic smoke test for intent: Specialized Service,synthetic;migrated_from_cx,,,,
,1,EXPECTATION_TEXT,,root_agent,,,,,,
smoke_regular_maintenance,1,INPUT_TEXT,I want to book a regular maintenance,,Synthetic smoke test for intent: Regular Maintenance,synthetic;migrated_from_cx,,,,
,1,EXPECTATION_TEXT,,root_agent,,,,,,
